layer,modal,subj_type,n,share
min_statement_quote,may,other,4,0.154
min_directive_quote,will,other,31,0.646
min_directive_quote,will,it_there_rel,15,0.312
min_directive_quote,will,econ,1,0.021
min_directive_quote,will,committee,1,0.021
min_directive_quote,can,other,36,1.0
min_vote,would,other,103,0.866
min_vote,would,econ,10,0.084
min_vote,would,it_there_rel,4,0.034
min_vote,would,none,1,0.008
min_vote,would,person,1,0.008
min_boilerplate,will,person,19,0.528
min_boilerplate,will,other,7,0.194
min_boilerplate,will,fed,3,0.083
min_boilerplate,will,econ,3,0.083
min_boilerplate,will,committee,2,0.056
min_boilerplate,will,it_there_rel,2,0.056
min_boilerplate,would,it_there_rel,52,0.486
min_boilerplate,would,other,32,0.299
min_boilerplate,would,econ,9,0.084
min_boilerplate,would,committee,6,0.056
min_boilerplate,would,none,4,0.037
min_boilerplate,would,person,4,0.037
min_boilerplate,could,it_there_rel,24,0.4
min_boilerplate,could,other,22,0.367
min_boilerplate,could,person,8,0.133
min_boilerplate,could,committee,4,0.067
min_boilerplate,could,econ,2,0.033
min_boilerplate,may,other,45,0.283
min_boilerplate,may,econ,44,0.277
min_boilerplate,may,it_there_rel,30,0.189
min_boilerplate,may,none,18,0.113
min_boilerplate,may,person,17,0.107
min_boilerplate,may,committee,5,0.031
pc_chair,will,we_I,1813,0.418
pc_chair,will,it_there_rel,972,0.224
pc_chair,will,econ,596,0.137
pc_chair,will,other,496,0.114
pc_chair,will,person,340,0.078
pc_chair,will,committee,73,0.017
pc_chair,will,none,33,0.008
pc_chair,will,fed,18,0.004
pc_chair,would,we_I,1752,0.56
pc_chair,would,it_there_rel,699,0.224
pc_chair,would,other,260,0.083
pc_chair,would,person,221,0.071
pc_chair,would,econ,140,0.045
pc_chair,would,none,34,0.011
pc_chair,would,committee,14,0.004
pc_chair,would,fed,4,0.001
pc_chair,would,risks,3,0.001
pc_chair,could,it_there_rel,262,0.419
pc_chair,could,other,104,0.166
pc_chair,could,we_I,99,0.158
pc_chair,could,person,83,0.133
pc_chair,could,econ,61,0.097
pc_chair,could,none,13,0.021
pc_chair,could,committee,3,0.005
pc_chair,could,fed,1,0.002
pc_chair,can,we_I,642,0.399
pc_chair,can,person,404,0.251
pc_chair,can,it_there_rel,183,0.114
pc_chair,can,none,144,0.089
pc_chair,can,other,125,0.078
pc_chair,can,econ,91,0.057
pc_chair,can,fed,18,0.011
pc_chair,can,committee,2,0.001
pc_chair,can,risks,1,0.001
pc_chair,should,we_I,122,0.245
pc_chair,should,it_there_rel,122,0.245
pc_chair,should,other,96,0.193
pc_chair,should,econ,79,0.159
pc_chair,should,person,67,0.135
pc_chair,should,none,6,0.012
pc_chair,should,fed,4,0.008
pc_chair,should,committee,1,0.002
pc_chair,may,it_there_rel,228,0.47
pc_chair,may,other,86,0.177
pc_chair,may,econ,61,0.126
pc_chair,may,we_I,58,0.12
pc_chair,may,person,45,0.093
pc_chair,may,none,6,0.012
pc_chair,may,fed,1,0.002
pc_journalist,will,person,110,0.268
pc_journalist,will,it_there_rel,110,0.268
pc_journalist,will,other,74,0.18
pc_journalist,will,econ,58,0.141
pc_journalist,will,we_I,27,0.066
pc_journalist,will,fed,20,0.049
pc_journalist,will,none,7,0.017
pc_journalist,will,committee,4,0.01
pc_journalist,will,risks,1,0.002
pc_journalist,would,person,310,0.395
pc_journalist,would,it_there_rel,223,0.284
pc_journalist,would,other,80,0.102
pc_journalist,would,we_I,65,0.083
pc_journalist,would,econ,48,0.061
pc_journalist,would,none,23,0.029
pc_journalist,would,fed,22,0.028
pc_journalist,would,committee,11,0.014
pc_journalist,would,risks,2,0.003
pc_journalist,could,person,255,0.435
pc_journalist,could,we_I,119,0.203
pc_journalist,could,it_there_rel,93,0.159
pc_journalist,could,other,49,0.084
pc_journalist,could,econ,37,0.063
pc_journalist,could,none,17,0.029
pc_journalist,could,fed,14,0.024
pc_journalist,could,risks,2,0.003
pc_journalist,can,person,264,0.695
pc_journalist,can,we_I,47,0.124
pc_journalist,can,econ,19,0.05
pc_journalist,can,it_there_rel,17,0.045
pc_journalist,can,other,16,0.042
pc_journalist,can,fed,9,0.024
pc_journalist,can,none,7,0.018
pc_journalist,can,risks,1,0.003
pc_journalist,should,we_I,67,0.344
pc_journalist,should,person,40,0.205
pc_journalist,should,it_there_rel,27,0.138
pc_journalist,should,other,26,0.133
pc_journalist,should,econ,21,0.108
pc_journalist,should,fed,11,0.056
pc_journalist,should,committee,2,0.01
pc_journalist,should,none,1,0.005
pc_journalist,may,it_there_rel,32,0.333
pc_journalist,may,person,16,0.167
pc_journalist,may,we_I,15,0.156
pc_journalist,may,econ,13,0.135
pc_journalist,may,other,10,0.104
pc_journalist,may,none,5,0.052
pc_journalist,may,fed,5,0.052
speech_chair,will,we_I,390,0.334
speech_chair,will,other,311,0.266
speech_chair,will,econ,207,0.177
speech_chair,will,it_there_rel,152,0.13
speech_chair,will,person,64,0.055
speech_chair,will,committee,27,0.023
speech_chair,will,fed,10,0.009
speech_chair,will,none,8,0.007
speech_chair,would,other,179,0.312
speech_chair,would,econ,123,0.215
speech_chair,would,it_there_rel,107,0.187
speech_chair,would,we_I,102,0.178
speech_chair,would,person,31,0.054
speech_chair,would,committee,17,0.03
speech_chair,would,fed,7,0.012
speech_chair,would,none,6,0.01
speech_chair,would,risks,1,0.002
speech_chair,could,other,125,0.352
speech_chair,could,econ,96,0.27
speech_chair,could,it_there_rel,64,0.18
speech_chair,could,person,30,0.085
speech_chair,could,we_I,28,0.079
speech_chair,could,none,5,0.014
speech_chair,could,committee,5,0.014
speech_chair,could,fed,2,0.006
speech_chair,can,other,151,0.294
speech_chair,can,we_I,109,0.212
speech_chair,can,econ,90,0.175
speech_chair,can,it_there_rel,67,0.13
speech_chair,can,person,48,0.093
speech_chair,can,none,28,0.054
speech_chair,can,fed,17,0.033
speech_chair,can,risks,2,0.004
speech_chair,can,committee,2,0.004
speech_chair,should,econ,64,0.305
speech_chair,should,other,56,0.267
speech_chair,should,we_I,44,0.21
speech_chair,should,it_there_rel,18,0.086
speech_chair,should,person,18,0.086
speech_chair,should,fed,4,0.019
speech_chair,should,none,3,0.014
speech_chair,should,committee,2,0.01
speech_chair,should,risks,1,0.005
speech_chair,may,other,171,0.448
speech_chair,may,econ,81,0.212
speech_chair,may,it_there_rel,79,0.207
speech_chair,may,person,29,0.076
speech_chair,may,we_I,15,0.039
speech_chair,may,none,3,0.008
speech_chair,may,committee,2,0.005
speech_chair,may,fed,1,0.003
speech_chair,may,risks,1,0.003
