block,layer,series,N,mean,sd,min,max,zero_share,AR1
macro,statement,CFNAI-MA3 (m−2),101,-0.09,1.101,-7.55,4.58,,0.25
macro,statement,VIX pre-28d,101,18.347,6.694,10.19,50.277,,0.756
macro,statement,Unemployment gap (m−1),101,0.175,1.43,-1.034,8.741,,0.766
macro,statement,Core PCE gap (m−2),101,0.448,1.297,-1.005,3.606,,0.983
text,min_boilerplate,ALL,99,1.72,4.481,0.0,21.505,0.818,0.071
text,min_boilerplate,could,99,0.293,1.176,0.0,8.065,0.859,-0.019
text,min_boilerplate,may,99,0.407,1.133,0.0,3.945,0.879,-0.089
text,min_boilerplate,will,99,0.219,1.067,0.0,9.881,0.859,0.16
text,min_boilerplate,would,99,0.656,2.33,0.0,14.925,0.828,0.022
text,min_committee,ALL,99,15.236,2.998,6.224,21.127,0.0,0.485
text,min_committee,could,99,1.44,1.091,0.0,4.184,0.293,0.51
text,min_committee,should,99,1.264,1.461,0.0,6.729,0.455,0.618
text,min_committee,will,99,0.592,1.391,0.0,7.519,0.778,0.656
text,min_committee,would,99,11.434,3.192,4.225,18.265,0.0,0.539
text,min_directive_quote,ALL,99,4.44,6.029,0.0,17.544,0.566,0.9
text,min_directive_quote,could,99,0.895,1.963,0.0,5.848,0.818,0.933
text,min_directive_quote,will,99,2.09,4.177,0.0,13.582,0.788,0.819
text,min_front_matter,ALL,99,0.609,2.201,0.0,15.125,0.889,-0.078
text,min_front_matter,would,99,0.285,1.435,0.0,11.635,0.939,-0.04
text,min_participants,ALL,99,12.267,2.779,6.219,21.058,0.0,0.334
text,min_participants,could,99,3.951,1.679,0.457,9.709,0.0,0.174
text,min_participants,may,99,0.711,0.74,0.0,3.152,0.323,0.154
text,min_participants,should,99,0.655,0.625,0.0,2.924,0.283,0.087
text,min_participants,would,99,6.784,2.066,2.157,14.381,0.0,0.373
text,min_special,ALL,40,19.24,6.407,6.427,31.461,0.0,0.41
text,min_special,could,40,6.046,4.849,0.0,19.759,0.2,0.242
text,min_special,should,40,1.518,1.831,0.0,8.951,0.325,-0.049
text,min_special,will,40,1.703,4.097,0.0,18.553,0.625,-0.067
text,min_special,would,40,8.941,5.189,1.692,26.786,0.0,0.14
text,min_staff,ALL,99,2.119,1.04,0.37,4.808,0.0,0.419
text,min_staff,could,99,0.534,0.547,0.0,2.375,0.364,0.574
text,min_staff,may,99,0.227,0.279,0.0,1.155,0.535,0.104
text,min_staff,would,99,1.266,0.696,0.0,3.205,0.071,0.238
text,min_staff_desk,ALL,99,6.629,5.135,0.0,21.642,0.152,0.198
text,min_staff_desk,could,99,1.625,1.893,0.0,7.22,0.434,0.118
text,min_staff_desk,may,99,0.485,0.876,0.0,4.124,0.717,0.108
text,min_staff_desk,should,99,0.287,0.842,0.0,6.173,0.838,0.195
text,min_staff_desk,will,99,0.456,0.937,0.0,3.906,0.768,-0.063
text,min_staff_desk,would,99,3.729,3.279,0.0,14.545,0.182,0.142
text,min_statement_quote,ALL,99,18.938,4.169,10.204,27.304,0.0,0.852
text,min_statement_quote,could,99,1.516,1.615,0.0,4.425,0.495,0.974
text,min_statement_quote,should,99,0.555,0.922,0.0,2.597,0.727,0.969
text,min_statement_quote,will,99,14.695,3.136,7.394,21.951,0.0,0.699
text,min_statement_quote,would,99,1.53,1.683,0.0,4.435,0.525,0.945
text,min_vote,ALL,99,9.203,5.26,0.0,27.682,0.051,0.4
text,min_vote,could,99,0.487,1.741,0.0,9.95,0.909,-0.04
text,min_vote,would,99,7.345,3.668,0.0,20.979,0.051,0.253
text,pc_chair,ALL,80,20.043,2.968,14.058,28.589,0.0,0.186
text,pc_chair,can,80,2.958,1.161,0.431,6.539,0.0,0.416
text,pc_chair,could,80,1.168,0.621,0.0,3.185,0.013,0.204
text,pc_chair,may,80,0.903,0.472,0.0,2.362,0.013,0.169
text,pc_chair,should,80,0.938,0.551,0.0,3.069,0.013,0.254
text,pc_chair,will,80,8.2,2.545,3.33,17.139,0.0,0.348
text,pc_chair,would,80,5.875,1.663,3.005,9.585,0.0,-0.091
text,pc_journalist,ALL,80,17.784,3.455,9.284,29.557,0.0,0.198
text,pc_journalist,can,80,2.769,1.64,0.0,8.108,0.025,0.321
text,pc_journalist,could,80,4.219,1.797,1.326,10.535,0.0,0.072
text,pc_journalist,may,80,0.687,0.649,0.0,3.019,0.338,-0.011
text,pc_journalist,should,80,1.427,1.098,0.0,4.78,0.1,-0.122
text,pc_journalist,will,80,2.986,1.667,0.0,7.789,0.013,0.072
text,pc_journalist,would,80,5.697,1.963,1.407,11.494,0.0,0.134
text,pc_moderator,ALL,49,31.522,36.376,0.0,111.111,0.449,0.276
text,pc_moderator,will,49,31.221,36.338,0.0,111.111,0.449,0.273
text,speech_chair,ALL,124,12.787,4.789,1.637,26.19,0.0,-0.044
text,speech_chair,can,124,2.365,1.879,0.0,9.47,0.121,0.111
text,speech_chair,could,124,1.18,1.273,0.0,5.708,0.355,0.012
text,speech_chair,may,124,1.425,1.449,0.0,11.111,0.266,0.091
text,speech_chair,should,124,0.739,0.979,0.0,6.525,0.452,0.117
text,speech_chair,will,124,5.121,3.013,0.0,15.317,0.04,-0.063
text,speech_chair,would,124,1.957,1.602,0.0,6.699,0.202,0.14
text,statement,ALL,101,18.476,4.012,10.169,26.385,0.0,0.814
text,statement,could,101,1.446,1.562,0.0,4.237,0.505,0.973
text,statement,should,101,0.539,0.908,0.0,2.538,0.733,0.968
text,statement,will,101,14.365,3.146,7.353,21.951,0.0,0.625
text,statement,would,101,1.46,1.631,0.0,4.435,0.535,0.942
text,statement_vote,ALL,100,0.725,3.41,0.0,23.121,0.95,0.645
