layer,modal,predicate,doc_id,date,kwic
pc_chair,will,continue,transcript_20180321,2018-03-21,"…In making our policy decisions over the next few years, we [will] continue to aim for inflation of 2 percent while sustaining the econo…"
pc_chair,will,continue,transcript_20260429,2026-04-29,"…u know, I think—I am confident, as I said in my remarks, that the Fed [will] continue to make its decision based on analysis—rigorous analysis—and…"
pc_chair,will,have,transcript_20210616,2021-06-16,"In terms of exactly what that means, we'll, we'll have to see how things evolve."
pc_chair,will,have,transcript_20181219,2018-12-19,We'll just have to see.
pc_chair,will,see,transcript_20221102,2022-11-02,"…antially above for some time, you'll see it move up, but the movement [will] be fairly gradual.…"
pc_chair,will,see,transcript_20230614,2023-06-14,"…d if you go back to the old—the former SEP—the last SEP in March, you [will] see that [compared with March, projected real GDP] growth moved up.…"
pc_chair,will,do,transcript_20200129,2020-01-29,…We probably [will] do that at some point.…
pc_chair,will,do,transcript_20230726,2023-07-26,"…You know, we [will]—we're going to use our policy tools to—working through financial cond…"
pc_chair,will,take,transcript_20230614,2023-06-14,"So we'll, we'll take that into account."
pc_chair,will,take,transcript_20220615,2022-06-15,So I think that's how we'll take it.
pc_chair,would,say,transcript_20211215,2021-12-15,"…I [would] say, though, as well that our policy should begin to have an effect.…"
pc_chair,would,say,transcript_20260429,2026-04-29,"…And I [would] say that the, you know, number of people on the Committee who either …"
pc_chair,would,like,transcript_20220615,2022-06-15,And we'd like to see that in the form of a series of declining monthly inflation readings— that's what we're looking for.
pc_chair,would,like,transcript_20190320,2019-03-20,"So this is something we will have to deal with, and I think we can't really lose sight of that, and I'd like to see a greater focus on that "
pc_chair,would,want,transcript_20250618,2025-06-18,…I just [would]—I just would say it's not a place to—I would want to keep investing i…
pc_chair,would,want,transcript_20240918,2024-09-18,"…We know that market rents are doing what we [would] want them to do, which is to be moving up at relatively low levels, b…"
pc_chair,would,look,transcript_20240501,2024-05-01,We'd look at the totality of the data in answer to that question.
pc_chair,would,look,transcript_20250507,2025-05-07,We'd look at the level of the unemployment rate.
pc_chair,would,be,transcript_20230201,2023-02-01,"…I think, you know, most forecasts and certainly my assessment [would] be that growth will continue at a fairly subdued level this year.…"
pc_chair,would,be,transcript_20240612,2024-06-12,"…ook at year-end 2025 and '26, you're, you're almost exactly where you [would] have been, just it—just it's moved later because of that progress.…"
pc_chair,could,see,transcript_20220727,2022-07-27,"…It's an unobservable, but you [could] actually be seeing inflationary pressures coming down if that does ha…"
pc_chair,could,see,transcript_20220504,2022-05-04,"…ound the world and fading fiscal policy effects and higher rates, you [could] see some slower economic activity.…"
pc_chair,could,have,transcript_20231101,2023-11-01,"… mind's eye goes to the 8 percent—near 8 percent mortgage rate, which [could] have pretty significant effect on housing.…"
pc_chair,could,have,transcript_20210616,2021-06-16,…It [could] have some impact.…
pc_chair,could,be,transcript_20250129,2025-01-29,"… of in the nature of a placeholder, and—meaning, you know, plausible, [could] be, but honestly you wouldn't stand behind it because you just don't …"
pc_chair,could,be,transcript_20230920,2023-09-20,…It [could] also just be that policy hasn't been restrictive enough for long enou…
pc_chair,could,do,transcript_20200729,2020-07-29,"…Those whose jobs [could] be done without—you know, without exposure to lots of people in tight…"
pc_chair,could,do,transcript_20171213,2017-12-13,"…—the academic economists and others are thinking hard about what more [could] be done, and I think these are matters that are certainly worthy of f…"
pc_chair,could,affect,transcript_20161214,2016-12-14,…And so it's very hard to generalize about it because it [could] affect that neutral rate.…
pc_chair,could,affect,transcript_20180926,2018-09-26,…It [could] certainly feature—it could certainly affect consumption and have a ne…
pc_chair,can,do,transcript_20200303,2020-03-03,"…Of course, we are—we are thinking about what we [can] do should those things happen.…"
pc_chair,can,do,transcript_20200429,2020-04-29,"…be able to limit all of it, but we do have the tools to—to do what we [can] to—to keep people in touch with the labor force and working and also …"
pc_chair,can,see,transcript_20240918,2024-09-18,"…And, as I said, you [can]—you can see our, our 50 basis point move as a commitment to make sure…"
pc_chair,can,see,transcript_20241218,2024-12-18,"…I didn't mention it earlier, but I, I think you [can] see a, an ongoing gradual softening in the labor market.…"
pc_chair,can,say,transcript_20200429,2020-04-29,…[Can] you just say that part—you're a little bit low volume.…
pc_chair,can,say,transcript_20241107,2024-11-07,"…So I would say—in fact, you [can] say it the other way, that, that wage increases are now consistent wi…"
pc_chair,can,everything,transcript_20240131,2024-01-31,…We at the Fed will do everything we [can] to achieve our maximum-employment and price-stability goals.…
pc_chair,can,everything,transcript_20200429,2020-04-29,"…And I think it is important that we do everything we [can] to avoid that longer-run damage and try to get back to where we were,…"
pc_chair,can,have,transcript_20220504,2022-05-04,"…That's—the good things you [can] have, as we have.…"
pc_chair,can,have,transcript_20161214,2016-12-14,…So tax policies [can] have that effect.…
pc_chair,should,do,transcript_20250507,2025-05-07,… what the right thing to do is; really not at all clear what it is we [should] do.…
pc_chair,should,do,transcript_20250129,2025-01-29,"… act quite vigorously, and we did once we decided that that's what we [should] do.…"
pc_chair,should,help,transcript_20221214,2022-12-14,…So that [should] help.…
pc_chair,should,help,transcript_20160921,2016-09-21,…Our current policy [should] help move the economy toward our statutory goals of maximum employmen…
pc_chair,should,see,transcript_20200429,2020-04-29,"So, I would say, as long as inflation expectations remain anchored, then we shouldn't see deflation."
pc_chair,should,see,transcript_20180321,2018-03-21,…You [should] see some labor supply effects over time from lower individual effecti…
pc_chair,should,have,transcript_20160615,2016-06-15,"…ou know, the Committee as a whole never discusses, how many increases [should] we have this year or next year—that's not a decision we're making as …"
pc_chair,should,have,transcript_20181219,2018-12-19,"Honestly, it shouldn't have major implications for the United States, but, you know, there's a lot of uncertainty because it's not something"
pc_chair,should,move,transcript_20180321,2018-03-21,"…ths, as those earlier declines drop out of the calculation, inflation [should] move up closer to 2 percent and stabilize around that level over the …"
pc_chair,should,move,transcript_20220316,2022-03-16,"…g any one or more of those things, but financial conditions generally [should] move to a more normal level so that—because we know the economy no lo…"
pc_chair,may,be,transcript_20160615,2016-06-15,"…The idea that a low neutral rate [may] be more— closer to the new normal, but you still do see some reversio…"
pc_chair,may,be,transcript_20240731,2024-07-31,"…We haven't had so many during the pandemic era, and it just [may] be that we, we felt more united because we felt under a lot of pressu…"
pc_chair,may,take,transcript_20240612,2024-06-12,"…And, you know, [may], may—we've taken some signal from that, but, you know—and, and, of co…"
pc_chair,may,take,transcript_20230201,2023-02-01,…It [may] take longer to come down.…
pc_chair,may,have,transcript_20250507,2025-05-07,"…We don't have it yet, and we [may] not have it, but that's what we [may] have, and that's why I think it…"
pc_chair,may,have,transcript_20240131,2024-01-31,"…sinflation to the effort—and probably that declines over time, but it [may] well have some, some more time to run.…"
pc_chair,may,be+appropriate,transcript_20230920,2023-09-20,"…In determining the extent of additional policy firming that [may] be appropriate to return inflation to 2 percent over time, the Commit…"
pc_chair,may,be+appropriate,transcript_20230614,2023-06-14,…ed on now is determining the extent of additional policy firming that [may] be appropriate to return inflation to 2 percent over time—so that the…
pc_chair,may,see,transcript_20150318,2015-03-18,"…We [may] not see wage growth pick up, I wouldn't say either that that is a pre…"
pc_chair,may,see,transcript_20151216,2015-12-16,…We [may] be seeing some incipient signs of faster wage growth.…
