layer,modal,rank,predicate,n,share,cum_share,modal_n
statement,will,1,continue,125,0.2059,0.2059,607
statement,will,2,take,123,0.2026,0.4086,607
statement,will,3,assess,72,0.1186,0.5272,607
statement,will,4,be+appropriate,43,0.0708,0.598,607
statement,will,5,expand,34,0.056,0.654,607
statement,will,6,monitor,32,0.0527,0.7068,607
statement,will,7,depend,28,0.0461,0.7529,607
statement,will,8,warrant,20,0.0329,0.7858,607
statement,will,9,evolve,20,0.0329,0.8188,607
statement,will,10,strengthen,12,0.0198,0.8386,607
statement,will,11,add,12,0.0198,0.8583,607
statement,will,12,remain,11,0.0181,0.8764,607
statement,will,13,aim,10,0.0165,0.8929,607
statement,will,14,move,10,0.0165,0.9094,607
statement,will,15,increase,9,0.0148,0.9242,607
statement,would,1,be+prepared,46,0.9388,0.9388,49
statement,would,2,continue,2,0.0408,0.9796,49
statement,would,3,reduce,1,0.0204,1.0,49
statement,could,1,impede,46,0.92,0.92,50
statement,could,2,pose,4,0.08,1.0,50
statement,should,1,help,21,0.6364,0.6364,33
statement,should,2,maintain,6,0.1818,0.8182,33
statement,should,3,promote,6,0.1818,1.0,33
statement,may,1,warrant,15,0.5556,0.5556,27
statement,may,2,be+appropriate,10,0.3704,0.9259,27
statement,may,3,restrain,1,0.037,0.963,27
statement,may,4,find,1,0.037,1.0,27
min_staff_desk,will,1,decline,3,0.0857,0.0857,35
min_staff_desk,will,2,notify,3,0.0857,0.1714,35
min_staff_desk,will,3,inform,2,0.0571,0.2286,35
min_staff_desk,will,4,continue,2,0.0571,0.2857,35
min_staff_desk,will,5,need,2,0.0571,0.3429,35
min_staff_desk,will,6,start,2,0.0571,0.4,35
min_staff_desk,will,7,require,1,0.0286,0.4286,35
min_staff_desk,will,8,restore,1,0.0286,0.4571,35
min_staff_desk,will,9,begin,1,0.0286,0.4857,35
min_staff_desk,will,10,depend,1,0.0286,0.5143,35
min_staff_desk,will,11,change,1,0.0286,0.5429,35
min_staff_desk,will,12,remain,1,0.0286,0.5714,35
min_staff_desk,will,13,result,1,0.0286,0.6,35
min_staff_desk,will,14,report,1,0.0286,0.6286,35
min_staff_desk,will,15,prevail,1,0.0286,0.6571,35
min_staff_desk,would,1,continue,23,0.0749,0.0749,307
min_staff_desk,would,2,help,10,0.0326,0.1075,307
min_staff_desk,would,3,be+appropriate,8,0.0261,0.1336,307
