layer,unit,n_tokens,zero_T1,rho_cfnai_T1,p_cfnai_T1,rho_vix_T1,p_vix_T1,hac_b_cfnai_T1,hac_p_cfnai_T1,hac_b_vix_T1,hac_p_vix_T1,zero_T2,rho_cfnai_T2,p_cfnai_T2,rho_vix_T2,p_vix_T2,hac_b_cfnai_T2,hac_p_cfnai_T2,hac_b_vix_T2,hac_p_vix_T2,zero_T3,rho_cfnai_T3,p_cfnai_T3,rho_vix_T3,p_vix_T3
min_participants,would/copular_adj,321,0.07,-0.028,0.7808,0.22,0.0288,-0.1818,0.0,0.039,0.0109,0.08,0.078,0.4646,0.163,0.1218,0.146,0.7069,0.0244,0.3095,0.11,-0.065,0.459,0.129,0.1416
min_participants,could/causative,248,0.13,0.13,0.1993,0.093,0.3587,0.1602,0.0081,0.0178,0.3602,0.14,0.062,0.5606,0.057,0.5929,0.3302,0.2893,0.0119,0.6771,0.16,0.143,0.104,0.046,0.5994
min_participants,would/other,213,0.09,-0.066,0.5164,0.156,0.1231,-0.0906,0.0,0.0097,0.3708,0.1,0.009,0.9334,0.107,0.3145,-0.0791,0.773,0.0021,0.8948,0.1,-0.109,0.2167,0.16,0.0676
min_participants,would/occurrence,187,0.2,-0.074,0.4644,-0.01,0.9254,0.0524,0.0191,-0.0053,0.6674,0.21,-0.119,0.2593,0.072,0.4952,-0.3942,0.076,0.0093,0.6328,0.18,0.004,0.9641,0.054,0.5403
min_participants,would/activity,158,0.3,-0.083,0.4136,0.468,0.0,-0.0946,0.0009,0.0515,0.0024,0.32,-0.016,0.8818,0.489,0.0,-0.0786,0.7123,0.0753,0.0,0.36,-0.065,0.4595,0.278,0.0013
min_participants,would/causative,155,0.23,0.089,0.3812,0.1,0.324,-0.049,0.0137,0.0033,0.7253,0.23,0.177,0.0934,0.118,0.2662,0.2444,0.392,0.0046,0.7222,0.23,0.089,0.3108,0.068,0.4411
min_participants,would/policy_action,152,0.27,-0.082,0.4189,-0.268,0.0073,0.0059,0.8066,-0.0198,0.2122,0.29,-0.044,0.6766,-0.319,0.0021,0.1657,0.5423,-0.045,0.0005,0.36,-0.095,0.28,-0.324,0.0002
min_participants,could/other,148,0.25,-0.185,0.0675,0.011,0.911,-0.0477,0.0382,0.0003,0.9751,0.27,-0.122,0.2506,0.004,0.971,0.0804,0.8221,-0.0035,0.8215,0.29,-0.242,0.0054,-0.019,0.8292
min_special,ALL,783,0.0,0.196,0.2246,-0.161,0.3205,0.3132,0.3521,-0.085,0.7215,0.0,0.21,0.2182,-0.139,0.4188,3.9944,0.2752,-0.1737,0.6108,0.02,0.273,0.0576,-0.033,0.8237
min_special,would/copular_adj,90,0.2,0.203,0.2086,0.379,0.0159,0.0081,0.9448,0.1365,0.0059,0.22,0.242,0.1552,0.337,0.0446,0.732,0.0797,0.135,0.0397,0.27,0.126,0.3889,0.409,0.0036
min_special,could/other,68,0.38,0.14,0.3897,0.041,0.8014,0.2146,0.0409,0.0401,0.5967,0.39,0.159,0.3558,0.164,0.3405,0.2048,0.8263,0.0929,0.3605,0.39,0.076,0.6053,0.1,0.4951
min_special,would/other,62,0.3,-0.002,0.9923,-0.202,0.2125,0.085,0.2773,-0.0813,0.1276,0.31,-0.165,0.3349,-0.203,0.2347,-1.7823,0.2311,-0.0801,0.068,0.35,0.027,0.8553,-0.115,0.4319
min_special,could/activity,51,0.42,0.159,0.3282,0.208,0.1975,0.0603,0.4573,0.0632,0.1597,0.44,0.23,0.1772,0.226,0.1857,0.1677,0.7871,0.0788,0.2304,0.47,0.18,0.2147,0.179,0.2185
min_special,could/causative,40,0.53,-0.106,0.5143,0.177,0.2749,-0.4094,0.0,0.0165,0.5092,0.58,0.102,0.5531,0.081,0.6372,0.1422,0.748,0.0038,0.8855,0.57,-0.008,0.9586,0.236,0.1032
min_special,would/activity,40,0.42,-0.099,0.5433,-0.032,0.8445,0.0302,0.6262,-0.0449,0.309,0.44,-0.164,0.3382,0.014,0.9341,-1.692,0.049,-0.0154,0.7488,0.51,-0.097,0.5059,-0.038,0.7959
min_special,could/policy_action,39,0.53,0.101,0.5363,0.15,0.3559,0.0773,0.3194,0.0267,0.4442,0.53,-0.007,0.9678,0.082,0.6359,-0.2183,0.5687,-0.0019,0.9442,0.59,0.126,0.3899,0.121,0.4071
min_staff,ALL,539,0.0,0.075,0.4586,-0.333,0.0008,-0.0316,0.3398,-0.0443,0.0307,0.0,0.092,0.3861,-0.361,0.0004,0.5004,0.3091,-0.0723,0.0055,0.01,0.058,0.5082,-0.393,0.0
min_staff,would/occurrence,103,0.28,0.11,0.2798,-0.22,0.0286,0.0288,0.0999,-0.0068,0.3043,0.27,0.175,0.0969,-0.179,0.0893,0.3611,0.0256,-0.011,0.2977,0.29,0.102,0.2448,-0.213,0.0144
min_staff,would/policy_action,58,0.54,0.078,0.4415,-0.351,0.0004,0.0026,0.8026,-0.013,0.0771,0.54,0.1,0.3438,-0.394,0.0001,0.2265,0.033,-0.0259,0.0,0.56,0.06,0.4941,-0.352,0.0
min_staff,could/occurrence,43,0.66,0.018,0.8635,-0.351,0.0004,0.0022,0.753,-0.0145,0.0129,0.63,0.012,0.9129,-0.312,0.0026,0.0526,0.7443,-0.0179,0.0404,0.72,0.025,0.7793,-0.354,0.0
min_staff,would/other,42,0.66,0.2,0.0471,0.263,0.0086,0.0027,0.8405,0.0113,0.0628,0.66,0.228,0.0294,0.274,0.0085,0.2152,0.0046,0.0152,0.0007,0.57,0.118,0.1809,0.177,0.0437
min_staff,would/copular_adj,41,0.68,0.096,0.3458,-0.151,0.136,0.0313,0.0097,-0.0063,0.0476,0.67,0.02,0.8507,-0.158,0.1345,-0.0564,0.5968,-0.0087,0.0457,0.69,0.093,0.2903,-0.171,0.0511
min_staff_desk,ALL,553,0.15,0.139,0.17,0.139,0.1699,0.4193,0.026,0.081,0.3874,0.16,0.161,0.1262,0.119,0.2593,4.3483,0.1441,0.0293,0.858,0.24,0.135,0.1235,0.113,0.1999
min_staff_desk,would/other,62,0.59,0.053,0.6058,-0.094,0.353,0.0228,0.8207,-0.0155,0.4009,0.6,0.073,0.4917,-0.14,0.1842,0.314,0.4601,-0.0363,0.1284,0.6,0.117,0.1825,-0.009,0.9188
min_staff_desk,would/policy_action,46,0.69,-0.015,0.8849,0.121,0.2314,-0.0277,0.3376,0.0177,0.1521,0.7,0.045,0.6724,0.111,0.296,0.16,0.7061,0.013,0.4699,0.7,0.047,0.5913,0.14,0.1096
min_staff_desk,would/copular_adj,39,0.8,0.023,0.8239,-0.001,0.9892,0.0253,0.2593,-0.0112,0.3756,0.79,-0.022,0.839,0.03,0.7742,-0.0595,0.9036,-0.0036,0.8748,0.79,0.035,0.6904,0.04,0.652
min_staff_desk,would/aspectual,37,0.74,0.077,0.4466,0.25,0.0124,0.1155,0.0,0.0404,0.0,0.77,0.086,0.4199,0.226,0.0312,0.1371,0.6744,0.0386,0.0112,0.76,0.062,0.4851,0.22,0.0117
min_staff_desk,would/activity,31,0.77,-0.053,0.6015,-0.035,0.7295,-0.1163,0.0004,-0.0126,0.196,0.77,0.024,0.8187,-0.06,0.5728,0.4802,0.2468,-0.0207,0.1798,0.76,-0.035,0.6905,-0.009,0.9203
statement,ALL,770,0.0,-0.124,0.2158,0.061,0.5425,-0.2078,0.1953,0.0023,0.9743,0.0,-0.178,0.0909,0.045,0.6729,-2.5642,0.2616,0.0831,0.3078,0.0,-0.096,0.2697,-0.116,0.185
statement,will/activity,132,0.01,-0.342,0.0005,0.224,0.0245,-0.3212,0.0001,0.0161,0.5607,0.0,-0.286,0.006,0.241,0.0214,-2.2622,0.0012,0.076,0.0151,0.11,-0.227,0.0086,-0.004,0.9636
statement,will/aspectual,126,0.33,-0.16,0.1092,0.406,0.0,-0.0637,0.4654,0.1466,0.0053,0.35,-0.175,0.0964,0.393,0.0001,-2.0281,0.3006,0.2415,0.0001,0.29,-0.149,0.0861,0.337,0.0001
statement,will/mental,105,0.26,-0.285,0.0039,-0.368,0.0002,-0.5702,0.0,-0.081,0.0601,0.24,-0.181,0.0858,-0.419,0.0,-1.9251,0.0323,-0.1425,0.0015,0.25,-0.27,0.0017,-0.409,0.0
statement,will/policy_action,57,0.61,0.038,0.7031,-0.412,0.0,0.0078,0.8668,-0.0683,0.0065,0.58,0.027,0.7998,-0.387,0.0002,-0.0568,0.9306,-0.1036,0.0009,0.56,0.031,0.7217,-0.199,0.0217
statement,will/copular_adj,51,0.53,0.393,0.0,0.151,0.1317,0.3054,0.0009,0.0246,0.511,0.52,0.338,0.0011,0.219,0.037,1.688,0.0099,0.0772,0.086,0.58,0.353,0.0,-0.008,0.9312
statement,could/causative,50,0.5,-0.062,0.535,0.332,0.0007,0.2237,0.0,0.0449,0.3408,0.48,-0.167,0.1127,0.451,0.0,-1.1499,0.2265,0.1657,0.0,0.59,-0.011,0.9017,0.185,0.0326
statement,will/occurrence,47,0.64,0.177,0.0771,-0.229,0.021,-0.0867,0.3952,-0.0389,0.1613,0.66,0.203,0.0537,-0.364,0.0004,1.366,0.1217,-0.1089,0.0034,0.58,0.095,0.2747,-0.211,0.0148
statement,would/copular_adj,46,0.54,-0.077,0.4432,0.359,0.0002,0.2212,0.0,0.05,0.3016,0.53,-0.181,0.0861,0.474,0.0,-1.2392,0.2018,0.1751,0.0,0.65,-0.021,0.8119,0.247,0.0042
