layer,modal,n,neg,passive,perfect,progressive,cond,reported,question,contracted
statement,will,607,0.0,0.002,0.0,0.0,0.041,0.234,0.0,0.0
statement,would,49,0.0,0.0,0.0,0.0,0.939,0.041,0.0,0.0
statement,could,50,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0
statement,should,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
statement,may,27,0.0,0.074,0.0,0.0,0.037,0.074,0.0,0.0
min_committee,will,37,0.0,0.0,0.0,0.0,0.216,0.622,0.0,0.0
min_committee,would,719,0.0,0.017,0.001,0.01,0.164,0.786,0.0,0.0
min_committee,could,83,0.0,0.06,0.0,0.0,0.614,0.277,0.0,0.0
min_committee,should,85,0.012,0.082,0.0,0.0,0.047,0.741,0.0,0.0
min_committee,may,31,0.0,0.065,0.097,0.0,0.129,0.323,0.0,0.0
