block,layer,series,N,mean,sd,min,max,zero_share,AR1
macro,statement,CFNAI-MA3 (m−2),101,-0.09,1.101,-7.55,4.58,,0.25
macro,statement,VIX pre-28d,101,18.347,6.694,10.19,50.277,,0.756
macro,statement,Unemployment gap (m−1),101,0.175,1.43,-1.034,8.741,,0.766
macro,statement,Core PCE gap (m−2),101,0.448,1.297,-1.005,3.606,,0.983
text,min_committee,ALL,99,15.236,2.998,6.224,21.127,0.0,0.485
text,min_committee,could,99,1.44,1.091,0.0,4.184,0.293,0.51
text,min_committee,should,99,1.264,1.461,0.0,6.729,0.455,0.618
text,min_committee,will,99,0.592,1.391,0.0,7.519,0.778,0.656
text,min_committee,would,99,11.434,3.192,4.225,18.265,0.0,0.539
text,statement,ALL,101,18.476,4.012,10.169,26.385,0.0,0.814
text,statement,could,101,1.446,1.562,0.0,4.237,0.505,0.973
text,statement,should,101,0.539,0.908,0.0,2.538,0.733,0.968
text,statement,will,101,14.365,3.146,7.353,21.951,0.0,0.625
text,statement,would,101,1.46,1.631,0.0,4.435,0.535,0.942
