layer,modal,n,pmw,ci_lo,ci_hi,DP,docs_with,n_docs
statement,will,607,14484.8,13355.3,15684.3,0.085,101,101
statement,would,49,1169.3,865.0,1545.9,0.614,47,101
statement,could,50,1193.1,885.6,1573.0,0.548,50,101
statement,can,4,95.5,26.0,244.4,0.944,4,101
statement,should,33,787.5,542.1,1105.9,0.617,27,101
statement,may,27,644.3,424.6,937.4,0.685,26,101
statement,might,0,0.0,0.0,88.0,,0,101
statement,must,0,0.0,0.0,88.0,,0,101
statement,shall,0,0.0,0.0,88.0,,0,101
min_committee,will,37,588.9,414.6,811.7,0.745,22,99
min_committee,would,719,11443.0,10621.8,12310.9,0.112,99,99
min_committee,could,83,1321.0,1052.1,1637.5,0.335,70,99
min_committee,can,3,47.7,9.8,139.5,0.962,3,99
min_committee,should,85,1352.8,1080.6,1672.7,0.424,54,99
min_committee,may,31,493.4,335.2,700.3,0.68,27,99
min_committee,might,26,413.8,270.3,606.3,0.748,17,99
min_committee,must,0,0.0,0.0,58.7,,0,99
min_committee,shall,0,0.0,0.0,58.7,,0,99
