period,unit,break_date,meeting_index,share_before,share_after,direction,nearest_event,event_date,days_to_event,within_1_meeting,responsible_sentence
T3,will/aspectual,2013-09-18,29,0.259,0.083,down,QE3 ends,2014-10-29,406,False,"The Committee also will continue through the end of the year its program to extend the average maturity of its holdings of securities as announced in June, and it is maintaining its existing policy of reinvesting principal payments from its"
T3,will/aspectual,2019-07-31,76,0.031,0.26,up,Mid-cycle cut,2019-07-31,0,True,"As the Committee contemplates the future path of the target range for the federal funds rate, it will continue to monitor the implications of incoming information for the economic outlook and will act as appropriate to sustain the expansion"
T3,will/activity,2012-01-25,16,0.06,0.248,up,QE3 ends,2014-10-29,1008,False,"The Committee also anticipates that over coming quarters, inflation will run at levels at or below those consistent with the Committee's dual mandate."
T3,will/activity,2019-06-19,75,0.292,0.462,up,Mid-cycle cut,2019-07-31,42,True,"In light of these uncertainties and muted inflation pressures, the Committee will closely monitor the implications of incoming information for the economic outlook and will act as appropriate to sustain the expansion, with a strong labor ma"
T3,will/activity,2020-03-15,82,0.456,0.169,down,Pandemic ZLB,2020-03-15,0,True,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments."
T3,will/mental,2010-11-03,6,0.0,0.181,up,QE3 ends,2014-10-29,1456,False,The Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program in light of incoming information and will adjust the program as needed to best foster maximum employment and price s
T3,will/mental,2016-01-27,48,0.133,0.222,up,First hike (liftoff),2015-12-16,42,True,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its objectives of maximum employment and 2 percent infl"
T3,will/mental,2020-09-16,87,0.204,0.0,down,New framework,2020-08-27,20,True,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective and its symmetric 2 pe"
T3,will/mental,2024-01-31,114,0.031,0.146,up,Last hike,2023-07-26,189,False,"In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks."
T3,will/policy_action,2011-04-27,10,0.408,0.091,down,QE3 ends,2014-10-29,1281,False,"The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation ex"
T3,will/policy_action,2018-06-13,67,0.129,0.0,down,Powell chair,2018-02-05,128,False,"The Committee continues to expect that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace, and labor market conditions will strengthen somewhat further."
T3,will/occurrence,2011-08-09,12,0.0,0.243,up,QE3 ends,2014-10-29,1177,False,The Committee now expects a somewhat slower pace of recovery over coming quarters than it did at the time of the previous meeting and anticipates that the unemployment rate will decline only gradually toward levels that the Committee judges
T3,will/occurrence,2014-03-19,33,0.214,0.04,down,QE3 ends,2014-10-29,224,False,"The Committee expects that, with appropriate policy accommodation, economic growth will proceed at a moderate pace and the unemployment rate will gradually decline toward levels the Committee judges consistent with its dual mandate."
