layer,modal,unit,n,share,rank,modal_n
statement,can,can/copular_adj,2,0.5,1,4
statement,can,can/other,2,0.5,2,4
statement,could,could/causative,50,1.0,1,50
statement,may,may/causative,16,0.5926,1,27
statement,may,may/copular_adj,10,0.3704,2,27
statement,may,may/other,1,0.037,3,27
statement,should,should/activity,21,0.6364,1,33
statement,should,should/policy_action,6,0.1818,2,33
statement,should,should/causative,6,0.1818,3,33
statement,will,will/activity,132,0.2175,1,607
statement,will,will/aspectual,126,0.2076,2,607
statement,will,will/mental,105,0.173,3,607
statement,will,will/policy_action,57,0.0939,4,607
statement,will,will/copular_adj,51,0.084,5,607
statement,will,will/occurrence,47,0.0774,6,607
statement,will,will/causative,38,0.0626,7,607
statement,will,will/existence,29,0.0478,8,607
statement,will,will/communication,12,0.0198,9,607
statement,will,will/other,10,0.0165,10,607
statement,would,would/copular_adj,46,0.9388,1,49
statement,would,would/aspectual,2,0.0408,2,49
statement,would,would/policy_action,1,0.0204,3,49
