period,unit,break_date,meeting_index,share_before,share_after,direction,nearest_event,event_date,days_to_event,within_1_meeting,sentence_after,sentence_before
T3,will+continue,2012-01-25,16,0.257,0.094,down,QE3 ends,2014-10-29,1008,False,,"The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at le"
T3,will+continue,2019-07-31,76,0.031,0.26,up,Mid-cycle cut,2019-07-31,0,True,"As the Committee contemplates the future path of the target range for the federal funds rate, it will continue to monitor the implications of incoming information for the economic outlook and will act as appropriate to s",
T3,will+take,2012-09-13,21,0.0,0.116,up,QE3 ends,2014-10-29,776,False,"In determining the size, pace, and composition of its asset purchases, the Committee will, as always, take appropriate account of the likely efficacy and costs of such purchases.",
T3,will+take,2018-06-13,67,0.117,0.292,up,Powell chair,2018-02-05,128,False,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international",
T3,will+take,2020-03-03,81,0.275,0.085,down,Pandemic ZLB,2020-03-15,12,True,,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international"
T3,will+take,2022-03-16,99,0.119,0.22,up,Hiking cycle begins,2022-03-16,0,True,"The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and internationa",
T3,will+assess,2014-03-19,33,0.016,0.089,up,QE3 ends,2014-10-29,224,False,"In determining how long to maintain the current 0 to 1/4 percent target range for the federal funds rate, the Committee will assess progress--both realized and expected--toward its objectives of maximum employment and 2 ",
T3,will+assess,2018-06-13,67,0.117,0.292,up,Powell chair,2018-02-05,128,False,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective an",
T3,will+assess,2020-03-03,81,0.275,0.075,down,Pandemic ZLB,2020-03-15,12,True,,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective an"
T3,will+assess,2024-01-31,114,0.0,0.146,up,Last hike,2023-07-26,189,False,"In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks.",
T3,will+be+appropriate,2012-12-12,23,0.0,0.081,up,QE3 ends,2014-10-29,686,False,"In particular, the Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that this exceptionally low range for the federal funds rate will be appropriate at l",
T3,will+be+appropriate,2015-12-16,47,0.12,0.0,down,First hike (liftoff),2015-12-16,0,True,,The Committee sees this guidance as consistent with its previous statement that it likely will be appropriate to maintain the 0 to 1/4 percent target range for the federal funds rate for a considerable time following the
T3,will+be+appropriate,2020-09-16,87,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent ,
T3,will+be+appropriate,2023-03-22,107,0.166,0.018,down,Last hike,2023-07-26,126,False,,"In support of these goals, the Committee decided to raise the target range for the federal funds rate to 1/4 to 1/2 percent and anticipates that ongoing increases in the target range will be appropriate."
T3,would+be+prepared,2020-09-16,87,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.,
T3,could+impede,2020-09-16,87,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.,
T3,will+monitor,2012-08-01,20,0.0,0.116,up,QE3 ends,2014-10-29,819,False,The Committee will closely monitor incoming information on economic and financial developments and will provide additional accommodation as needed to promote a stronger economic recovery and sustained improvement in labo,
T3,will+monitor,2014-10-29,38,0.063,0.0,down,QE3 ends,2014-10-29,0,True,,"The Committee will closely monitor incoming information on economic and financial developments in coming months and will continue its purchases of Treasury and agency mortgage-backed securities, and employ its other poli"
T3,will+monitor,2015-12-16,47,0.0,0.11,up,First hike (liftoff),2015-12-16,0,True,"In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal.",
T3,will+monitor,2018-06-13,67,0.117,0.0,down,Powell chair,2018-02-05,128,False,,The Committee will carefully monitor actual and expected inflation developments relative to its symmetric inflation goal.
T3,will+expand,2014-01-29,32,0.0,0.079,up,QE3 ends,2014-10-29,273,False,"The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace and the unemployment rate will gradually decline toward levels the Committee judges consistent with its ",
T3,will+expand,2018-06-13,67,0.117,0.0,down,Powell chair,2018-02-05,128,False,,"The Committee continues to expect that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace, and labor market conditions will strengthen somewhat further."
T3,will+depend,2015-12-16,47,0.0,0.11,up,First hike (liftoff),2015-12-16,0,True,"However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.",
T3,will+depend,2018-06-13,67,0.117,0.0,down,Powell chair,2018-02-05,128,False,,"However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data."
T3,will+depend,2020-07-29,86,0.0,0.116,up,New framework,2020-08-27,29,True,The path of the economy will depend significantly on the course of the virus.,
T3,will+depend,2021-07-28,94,0.116,0.0,down,Hiking cycle begins,2022-03-16,231,False,,The path of the economy will depend significantly on the course of the virus.
T3,will+remain,2012-09-13,21,0.0,0.095,up,QE3 ends,2014-10-29,776,False,"To support continued progress toward maximum employment and price stability, the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the economic ",
T3,will+remain,2014-10-29,38,0.085,0.0,down,QE3 ends,2014-10-29,0,True,,"Asset purchases are not on a preset course, and the Committee's decisions about their pace will remain contingent on the Committee's economic outlook as well as its assessment of the likely efficacy and costs of such pur"
T3,will+remain,2017-12-13,63,0.0,0.062,up,Powell chair,2018-02-05,54,False,"Consequently, the Committee continues to expect that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market conditions will remain strong.",
T3,will+remain,2018-06-13,67,0.062,0.0,down,Powell chair,2018-02-05,128,False,,"Consequently, the Committee continues to expect that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market conditions will remain strong."
T3,should+help,2014-10-29,38,0.0,0.125,up,QE3 ends,2014-10-29,0,True,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",
T3,should+help,2017-06-14,59,0.107,0.0,down,Normalization addendum,2017-06-14,0,True,,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions."
T3,may+warrant,2014-03-19,33,0.0,0.089,up,QE3 ends,2014-10-29,224,False,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Com",
T3,may+warrant,2014-10-29,38,0.04,0.125,up,QE3 ends,2014-10-29,0,True,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Com",
T3,may+warrant,2015-12-16,47,0.124,0.0,down,First hike (liftoff),2015-12-16,0,True,,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Com"
