layer,modal,unit,n,share,rank,modal_n
min_boilerplate,can,can/activity,1,0.5,1,2
min_boilerplate,can,can/occurrence,1,0.5,2,2
min_boilerplate,could,could/causative,27,0.45,1,60
min_boilerplate,could,could/other,9,0.15,2,60
min_boilerplate,could,could/occurrence,9,0.15,3,60
min_boilerplate,could,could/activity,5,0.0833,4,60
min_boilerplate,could,could/communication,3,0.05,5,60
min_boilerplate,could,could/policy_action,3,0.05,6,60
min_boilerplate,could,could/mental,2,0.0333,7,60
min_boilerplate,could,could/existence,1,0.0167,8,60
min_boilerplate,could,could/copular_adj,1,0.0167,9,60
min_boilerplate,may,may/other,84,0.5283,1,159
min_boilerplate,may,may/policy_action,28,0.1761,2,159
min_boilerplate,may,may/activity,13,0.0818,3,159
min_boilerplate,may,may/occurrence,8,0.0503,4,159
min_boilerplate,may,may/causative,8,0.0503,5,159
min_boilerplate,may,may/mental,8,0.0503,6,159
min_boilerplate,may,may/copular_adj,7,0.044,7,159
min_boilerplate,may,may/existence,3,0.0189,8,159
min_boilerplate,should,should/communication,3,0.25,1,12
min_boilerplate,should,should/activity,3,0.25,2,12
min_boilerplate,should,should/copular_nom,1,0.0833,3,12
min_boilerplate,should,should/occurrence,1,0.0833,4,12
min_boilerplate,should,should/existence,1,0.0833,5,12
min_boilerplate,should,should/aspectual,1,0.0833,6,12
min_boilerplate,should,should/copular_adj,1,0.0833,7,12
min_boilerplate,should,should/mental,1,0.0833,8,12
min_boilerplate,will,will/other,21,0.5833,1,36
min_boilerplate,will,will/aspectual,6,0.1667,2,36
min_boilerplate,will,will/policy_action,2,0.0556,3,36
min_boilerplate,will,will/activity,2,0.0556,4,36
min_boilerplate,will,will/copular_prep,2,0.0556,5,36
min_boilerplate,will,will/existence,2,0.0556,6,36
min_boilerplate,will,will/communication,1,0.0278,7,36
min_boilerplate,would,would/causative,28,0.2617,1,107
min_boilerplate,would,would/copular_adj,24,0.2243,2,107
min_boilerplate,would,would/other,23,0.215,3,107
min_boilerplate,would,would/activity,10,0.0935,4,107
min_boilerplate,would,would/policy_action,7,0.0654,5,107
min_boilerplate,would,would/existence,5,0.0467,6,107
min_boilerplate,would,would/occurrence,3,0.028,7,107
min_boilerplate,would,would/communication,3,0.028,8,107
min_boilerplate,would,would/mental,2,0.0187,9,107
min_boilerplate,would,would/copular_nom,1,0.0093,10,107
min_boilerplate,would,would/aspectual,1,0.0093,11,107
min_committee,can,can/copular_adj,3,1.0,1,3
min_committee,could,could/causative,55,0.6627,1,83
min_committee,could,could/other,6,0.0723,2,83
min_committee,could,could/activity,6,0.0723,3,83
min_committee,could,could/copular_adj,5,0.0602,4,83
min_committee,could,could/occurrence,4,0.0482,5,83
min_committee,could,could/policy_action,3,0.0361,6,83
min_committee,could,could/copular_nom,2,0.0241,7,83
min_committee,could,could/existence,2,0.0241,8,83
min_committee,may,may/causative,14,0.4516,1,31
min_committee,may,may/copular_adj,13,0.4194,2,31
min_committee,may,may/occurrence,3,0.0968,3,31
min_committee,may,may/policy_action,1,0.0323,4,31
min_committee,should,should/communication,38,0.4471,1,85
min_committee,should,should/activity,21,0.2471,2,85
min_committee,should,should/other,12,0.1412,3,85
min_committee,should,should/aspectual,5,0.0588,4,85
min_committee,should,should/mental,3,0.0353,5,85
min_committee,should,should/existence,2,0.0235,6,85
min_committee,should,should/occurrence,2,0.0235,7,85
min_committee,should,should/copular_adj,1,0.0118,8,85
min_committee,should,should/causative,1,0.0118,9,85
min_committee,will,will/activity,11,0.2973,1,37
min_committee,will,will/copular_adj,8,0.2162,2,37
min_committee,will,will/policy_action,6,0.1622,3,37
min_committee,will,will/aspectual,4,0.1081,4,37
min_committee,will,will/other,2,0.0541,5,37
min_committee,will,will/causative,2,0.0541,6,37
min_committee,will,will/occurrence,2,0.0541,7,37
min_committee,will,will/mental,2,0.0541,8,37
min_committee,would,would/copular_adj,126,0.1752,1,719
min_committee,would,would/aspectual,116,0.1613,2,719
min_committee,would,would/activity,108,0.1502,3,719
min_committee,would,would/occurrence,89,0.1238,4,719
min_committee,would,would/mental,71,0.0987,5,719
min_committee,would,would/policy_action,56,0.0779,6,719
min_committee,would,would/existence,52,0.0723,7,719
min_committee,would,would/causative,48,0.0668,8,719
min_committee,would,would/other,26,0.0362,9,719
min_committee,would,would/communication,24,0.0334,10,719
min_committee,would,would/copular_nom,3,0.0042,11,719
min_directive_quote,can,can/occurrence,36,1.0,1,36
