layer,modal,n,neg,passive,perfect,progressive,cond,reported,question,contracted
statement,will,607,0.0,0.002,0.0,0.0,0.041,0.234,0.0,0.0
statement,would,49,0.0,0.0,0.0,0.0,0.939,0.041,0.0,0.0
statement,could,50,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0
statement,should,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
statement,may,27,0.0,0.074,0.0,0.0,0.037,0.074,0.0,0.0
min_staff_desk,will,35,0.029,0.086,0.029,0.0,0.257,0.457,0.0,0.0
min_staff_desk,would,307,0.02,0.143,0.016,0.007,0.215,0.459,0.0,0.0
min_staff_desk,could,138,0.0,0.188,0.014,0.014,0.246,0.464,0.0,0.0
min_staff_desk,should,27,0.0,0.296,0.0,0.0,0.111,0.741,0.0,0.0
min_staff_desk,may,41,0.024,0.024,0.293,0.049,0.317,0.366,0.0,0.0
min_staff,would,327,0.006,0.058,0.009,0.0,0.104,0.327,0.0,0.0
min_staff,could,132,0.0,0.038,0.008,0.008,0.326,0.25,0.0,0.0
min_staff,may,57,0.0,0.053,0.596,0.035,0.211,0.281,0.0,0.0
min_participants,will,30,0.0,0.167,0.0,0.033,0.267,0.767,0.0,0.0
min_participants,would,1537,0.016,0.116,0.005,0.005,0.184,0.714,0.0,0.0
min_participants,could,875,0.005,0.098,0.016,0.021,0.287,0.506,0.0,0.0
min_participants,should,149,0.101,0.248,0.0,0.013,0.188,0.852,0.0,0.0
min_participants,may,157,0.127,0.076,0.255,0.096,0.204,0.65,0.0,0.0
min_committee,will,37,0.0,0.0,0.0,0.0,0.216,0.622,0.0,0.0
min_committee,would,719,0.0,0.017,0.001,0.01,0.164,0.786,0.0,0.0
min_committee,could,83,0.0,0.06,0.0,0.0,0.614,0.277,0.0,0.0
min_committee,should,85,0.012,0.082,0.0,0.0,0.047,0.741,0.0,0.0
min_committee,may,31,0.0,0.065,0.097,0.0,0.129,0.323,0.0,0.0
min_special,will,49,0.0,0.102,0.0,0.0,0.082,0.347,0.0,0.0
min_special,would,344,0.052,0.145,0.006,0.009,0.241,0.576,0.0,0.0
min_special,could,283,0.004,0.201,0.004,0.007,0.3,0.431,0.0,0.0
min_special,can,21,0.048,0.333,0.0,0.0,0.429,0.571,0.0,0.0
min_special,should,58,0.069,0.276,0.0,0.0,0.172,0.69,0.0,0.0
min_special,may,28,0.107,0.071,0.036,0.036,0.143,0.429,0.0,0.0
min_statement_quote,will,601,0.0,0.002,0.0,0.0,0.042,0.236,0.0,0.0
min_statement_quote,would,49,0.0,0.0,0.0,0.0,0.939,0.041,0.0,0.0
min_statement_quote,could,50,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0
min_statement_quote,should,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_statement_quote,may,26,0.0,0.038,0.0,0.0,0.038,0.077,0.0,0.0
min_directive_quote,will,48,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0
min_directive_quote,can,36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
min_vote,would,119,0.0,0.782,0.008,0.008,0.025,0.866,0.0,0.0
min_boilerplate,will,36,0.0,0.0,0.0,0.0,0.111,0.111,0.0,0.0
min_boilerplate,would,107,0.215,0.159,0.0,0.0,0.393,0.308,0.0,0.0
min_boilerplate,could,60,0.0,0.1,0.0,0.0,0.133,0.267,0.0,0.0
min_boilerplate,may,159,0.038,0.365,0.006,0.0,0.132,0.019,0.0,0.0
pc_chair,will,4341,0.044,0.025,0.006,0.071,0.158,0.196,0.024,0.281
pc_chair,would,3127,0.103,0.017,0.02,0.019,0.23,0.169,0.025,0.095
pc_chair,could,626,0.037,0.061,0.027,0.011,0.291,0.142,0.024,0.0
pc_chair,can,1610,0.17,0.03,0.001,0.003,0.195,0.153,0.022,0.0
pc_chair,should,497,0.103,0.072,0.012,0.066,0.181,0.231,0.012,0.0
pc_chair,may,485,0.101,0.058,0.064,0.06,0.181,0.159,0.006,0.0
pc_journalist,will,411,0.066,0.056,0.007,0.051,0.263,0.277,0.63,0.124
pc_journalist,would,784,0.051,0.019,0.013,0.023,0.341,0.135,0.679,0.084
pc_journalist,could,586,0.007,0.026,0.007,0.007,0.551,0.157,0.527,0.0
pc_journalist,can,380,0.087,0.018,0.003,0.0,0.321,0.1,0.739,0.0
pc_journalist,should,195,0.067,0.087,0.031,0.067,0.231,0.246,0.718,0.0
pc_journalist,may,96,0.083,0.031,0.115,0.094,0.365,0.229,0.365,0.0
speech_chair,will,1169,0.034,0.049,0.003,0.024,0.157,0.132,0.015,0.008
speech_chair,would,573,0.047,0.065,0.082,0.009,0.288,0.157,0.01,0.009
speech_chair,could,355,0.017,0.073,0.039,0.014,0.282,0.115,0.014,0.0
speech_chair,can,514,0.123,0.117,0.0,0.004,0.212,0.066,0.045,0.0
speech_chair,should,210,0.081,0.186,0.01,0.033,0.162,0.214,0.076,0.0
speech_chair,may,382,0.055,0.097,0.118,0.068,0.191,0.092,0.01,0.0
