level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,category,unit_level
genre,minutes,would/policy_action,vix,-0.397,0.0,-0.466,0.0,-0.36,-0.338,-0.206,455,0.0,confirmed,U3
genre,press_conf,can/activity,cfnai,0.241,0.0312,0.295,0.0126,0.208,,0.37,533,0.037,era_composition,U3
genre,press_conf,can/activity,vix,0.398,0.0003,0.259,0.0292,0.356,,0.193,533,0.037,era_composition,U3
genre,press_conf,can/other,vix,0.353,0.0013,0.325,0.0058,0.331,,0.075,457,0.025,era_composition,U3
genre,press_conf,could/causative,vix,-0.391,0.0003,-0.464,0.0,-0.37,,-0.281,124,0.275,era_composition,U3
genre,press_conf,could/existence,vix,-0.233,0.0373,-0.289,0.0146,-0.211,,-0.273,90,0.463,era_composition,U3
genre,press_conf,may/copular_adj,cfnai,-0.281,0.0115,-0.341,0.0036,-0.253,,-0.551,73,0.438,era_composition,U3
genre,press_conf,should/other,cfnai,0.314,0.0046,0.259,0.0294,0.285,,0.219,96,0.338,era_composition,U3
genre,press_conf,will/activity,vix,0.359,0.0011,0.325,0.0056,0.281,,0.023,1024,0.0,era_composition,U3
genre,press_conf,will/aspectual,vix,0.267,0.0168,0.187,0.119,0.245,,0.437,356,0.013,T1_only,U3
genre,press_conf,will/existence,vix,0.233,0.0379,0.218,0.0684,0.195,,0.019,470,0.013,T1_only,U3
genre,press_conf,will/occurrence,vix,0.277,0.0129,0.354,0.0025,0.248,,0.535,295,0.062,era_composition,U3
genre,press_conf,will/other,vix,0.314,0.0046,0.255,0.0317,0.291,,0.189,506,0.013,era_composition,U3
genre,press_conf,will/policy_action,vix,-0.319,0.004,-0.333,0.0046,-0.304,,-0.176,311,0.037,era_composition,U3
genre,press_conf,would/copular_adj,vix,-0.267,0.0168,-0.194,0.1048,-0.207,,-0.045,350,0.025,T1_only,U3
genre,press_conf,would/mental,cfnai,0.282,0.0113,0.235,0.0486,0.245,,0.237,586,0.0,era_composition,U3
genre,press_conf,would/other,vix,-0.275,0.0136,-0.226,0.0584,-0.202,,0.123,560,0.013,T1_only,U3
genre,speech,could/other,vix,-0.227,0.0112,-0.228,0.013,-0.139,-0.209,-0.077,81,0.597,confirmed,U3
genre,speech,will/activity,cfnai,-0.218,0.0149,-0.193,0.036,-0.178,-0.196,-0.158,179,0.306,confirmed,U3
genre,speech,will/occurrence,vix,-0.235,0.0085,-0.219,0.0174,-0.138,-0.159,-0.212,119,0.548,confirmed,U3
genre,statement,could/causative,vix,0.312,0.0015,0.428,0.0,0.159,-0.083,-0.12,50,0.505,era_composition,U3
genre,statement,will/activity,cfnai,-0.35,0.0003,-0.285,0.0062,-0.227,-0.02,-0.502,132,0.01,confirmed,U3
genre,statement,will/aspectual,vix,0.404,0.0,0.387,0.0001,0.331,0.08,-0.348,126,0.327,era_composition,U3
genre,statement,will/copular_adj,cfnai,0.401,0.0,0.332,0.0013,0.35,0.227,0.36,55,0.535,confirmed,U3
genre,statement,will/mental,cfnai,-0.283,0.0041,-0.177,0.0934,-0.265,0.046,-0.461,105,0.257,T1_only,U3
genre,statement,will/mental,vix,-0.39,0.0001,-0.448,0.0,-0.438,-0.33,-0.284,105,0.257,confirmed,U3
genre,statement,would/copular_adj,vix,0.339,0.0005,0.45,0.0,0.234,,-0.12,46,0.545,era_composition,U3
layer,min_committee,could/causative,vix,0.325,0.001,0.414,0.0,0.275,-0.015,-0.099,55,0.465,era_composition,U3
layer,min_committee,would/activity,vix,0.328,0.0009,0.286,0.0059,0.164,-0.055,0.108,108,0.162,era_composition,U3
layer,min_committee,would/aspectual,vix,0.475,0.0,0.422,0.0,0.271,0.027,0.098,116,0.212,confirmed,U3
layer,min_committee,would/copular_adj,cfnai,0.287,0.004,0.198,0.0594,0.288,0.376,0.456,126,0.232,T1_only,U3
layer,min_committee,would/copular_adj,vix,0.487,0.0,0.54,0.0,0.422,0.123,0.4,126,0.232,confirmed,U3
layer,min_committee,would/existence,cfnai,0.425,0.0,0.401,0.0001,0.38,0.6,0.336,52,0.586,confirmed,U3
layer,min_committee,would/existence,vix,-0.264,0.0083,-0.355,0.0006,-0.22,-0.287,0.135,52,0.586,era_composition,U3
layer,min_committee,would/mental,cfnai,-0.479,0.0,-0.398,0.0001,-0.407,-0.285,-0.42,71,0.414,confirmed,U3
layer,min_committee,would/occurrence,vix,-0.357,0.0003,-0.303,0.0035,-0.31,0.132,-0.091,89,0.556,era_composition,U3
layer,min_participants,could/activity,cfnai,-0.31,0.0018,-0.286,0.006,-0.245,-0.047,-0.392,114,0.354,confirmed,U3
layer,min_participants,could/policy_action,vix,0.254,0.011,0.181,0.0855,0.164,0.087,-0.063,55,0.596,T1_only,U3
layer,min_participants,would/activity,vix,0.468,0.0,0.489,0.0,0.278,0.312,0.397,158,0.303,confirmed,U3
layer,min_participants,would/copular_adj,vix,0.22,0.0288,0.163,0.1218,0.129,0.045,0.27,321,0.071,T1_only,U3
layer,min_participants,would/existence,cfnai,0.344,0.0005,0.342,0.0009,0.268,0.376,0.352,93,0.455,confirmed,U3
layer,min_participants,would/policy_action,vix,-0.268,0.0073,-0.319,0.0021,-0.324,-0.323,-0.11,152,0.273,confirmed,U3
layer,min_special,would/copular_adj,vix,0.379,0.0159,0.337,0.0446,0.409,,,90,0.2,era_composition,U3
layer,min_staff,would/occurrence,vix,-0.22,0.0286,-0.179,0.0893,-0.213,-0.123,0.053,103,0.283,T1_only,U3
layer,min_staff,would/policy_action,vix,-0.351,0.0004,-0.394,0.0001,-0.352,-0.155,-0.095,58,0.535,confirmed,U3
layer,min_statement_quote,could/causative,vix,0.36,0.0003,0.444,0.0,0.201,-0.083,-0.053,50,0.495,era_composition,U3
layer,min_statement_quote,will/activity,cfnai,-0.366,0.0002,-0.304,0.0034,-0.246,0.006,-0.496,131,0.0,era_composition,U3
layer,min_statement_quote,will/activity,vix,0.256,0.0106,0.244,0.0198,0.011,0.186,-0.111,131,0.0,era_composition,U3
layer,min_statement_quote,will/aspectual,vix,0.415,0.0,0.386,0.0002,0.341,0.068,-0.362,123,0.323,era_composition,U3
layer,min_statement_quote,will/copular_adj,cfnai,0.384,0.0001,0.33,0.0014,0.347,0.189,0.371,51,0.525,confirmed,U3
layer,min_statement_quote,will/mental,cfnai,-0.305,0.0022,-0.191,0.0699,-0.285,0.08,-0.451,104,0.253,T1_only,U3
layer,min_statement_quote,will/mental,vix,-0.329,0.0009,-0.398,0.0001,-0.381,-0.354,-0.256,104,0.253,confirmed,U3
layer,min_statement_quote,would/copular_adj,vix,0.385,0.0001,0.467,0.0,0.261,,-0.053,46,0.535,era_composition,U3
layer,pc_chair,can/activity,cfnai,0.246,0.0278,0.337,0.004,0.222,,0.429,428,0.062,era_composition,U3
layer,pc_chair,can/activity,vix,0.437,0.0001,0.333,0.0046,0.389,,0.238,428,0.062,era_composition,U3
layer,pc_chair,can/other,vix,0.313,0.0047,0.283,0.0169,0.282,,0.002,351,0.062,era_composition,U3
layer,pc_chair,could/activity,cfnai,0.232,0.0385,0.233,0.0507,0.211,,0.255,110,0.287,T1_only,U3
layer,pc_chair,could/causative,vix,-0.388,0.0004,-0.485,0.0,-0.383,,-0.394,88,0.4,era_composition,U3
layer,pc_chair,could/other,vix,-0.283,0.0111,-0.33,0.0049,-0.296,,-0.123,81,0.45,era_composition,U3
layer,pc_chair,will/activity,vix,0.304,0.0062,0.279,0.0183,0.232,,-0.06,845,0.0,era_composition,U3
layer,pc_chair,will/aspectual,vix,0.236,0.035,0.15,0.2108,0.224,,0.385,336,0.013,T1_only,U3
layer,pc_chair,will/existence,vix,0.235,0.0358,0.22,0.0651,0.198,,-0.023,430,0.013,T1_only,U3
layer,pc_chair,will/occurrence,cfnai,0.224,0.0457,0.249,0.036,0.157,,0.41,275,0.075,era_composition,U3
layer,pc_chair,will/occurrence,vix,0.292,0.0085,0.369,0.0016,0.259,,0.529,275,0.075,era_composition,U3
layer,pc_chair,will/other,cfnai,0.234,0.0367,0.277,0.0195,0.198,,0.416,431,0.013,era_composition,U3
layer,pc_chair,will/other,vix,0.293,0.0082,0.206,0.0854,0.289,,0.122,431,0.013,T1_only,U3
layer,pc_chair,will/policy_action,vix,-0.335,0.0024,-0.363,0.0018,-0.332,,-0.171,297,0.062,era_composition,U3
layer,pc_chair,would/causative,vix,-0.233,0.0377,-0.095,0.4287,-0.191,,-0.28,89,0.425,T1_only,U3
layer,pc_chair,would/copular_adj,vix,-0.293,0.0083,-0.192,0.1081,-0.233,,-0.052,270,0.075,T1_only,U3
layer,pc_chair,would/mental,cfnai,0.258,0.0209,0.176,0.1416,0.218,,0.174,475,0.0,T1_only,U3
layer,pc_chair,would/other,cfnai,0.222,0.0481,0.148,0.2168,0.174,,0.379,388,0.062,T1_only,U3
layer,pc_journalist,would/existence,cfnai,0.234,0.0371,0.159,0.1841,0.155,,0.31,62,0.45,T1_only,U3
layer,pc_journalist,would/other,vix,-0.303,0.0062,-0.303,0.0103,-0.261,,-0.199,172,0.15,era_composition,U3
layer,pc_moderator,will/activity,cfnai,0.464,0.0008,0.607,0.0,0.464,,0.607,79,0.449,era_composition,U3
layer,pc_moderator,will/activity,vix,0.379,0.0073,0.384,0.012,0.379,,0.384,79,0.449,era_composition,U3
layer,speech_chair,could/other,vix,-0.227,0.0112,-0.228,0.013,-0.139,-0.209,-0.077,81,0.597,confirmed,U3
layer,speech_chair,will/activity,cfnai,-0.218,0.0149,-0.193,0.036,-0.178,-0.196,-0.158,179,0.306,confirmed,U3
layer,speech_chair,will/occurrence,vix,-0.235,0.0085,-0.219,0.0174,-0.138,-0.159,-0.212,119,0.548,confirmed,U3
layer,statement,could/causative,vix,0.332,0.0007,0.451,0.0,0.185,-0.083,-0.012,50,0.505,era_composition,U3
layer,statement,will/activity,cfnai,-0.342,0.0005,-0.286,0.006,-0.227,0.004,-0.474,132,0.01,era_composition,U3
layer,statement,will/activity,vix,0.224,0.0245,0.241,0.0214,-0.004,0.191,-0.073,132,0.01,era_composition,U3
layer,statement,will/aspectual,vix,0.406,0.0,0.393,0.0001,0.337,0.069,-0.325,126,0.327,era_composition,U3
layer,statement,will/copular_adj,cfnai,0.393,0.0,0.338,0.0011,0.353,0.19,0.386,51,0.535,confirmed,U3
layer,statement,will/mental,cfnai,-0.285,0.0039,-0.181,0.0858,-0.27,0.078,-0.453,105,0.257,T1_only,U3
layer,statement,will/mental,vix,-0.368,0.0002,-0.419,0.0,-0.409,-0.353,-0.257,105,0.257,confirmed,U3
layer,statement,would/copular_adj,vix,0.359,0.0002,0.474,0.0,0.247,,-0.012,46,0.545,era_composition,U3
