layer,modal,unit,n,share,rank,modal_n
min_committee,can,can/copular_adj,3,1.0,1,3
min_committee,could,could/causative,55,0.6627,1,83
min_committee,could,could/other,6,0.0723,2,83
min_committee,could,could/activity,6,0.0723,3,83
min_committee,could,could/copular_adj,5,0.0602,4,83
min_committee,could,could/occurrence,4,0.0482,5,83
min_committee,could,could/policy_action,3,0.0361,6,83
min_committee,could,could/copular_nom,2,0.0241,7,83
min_committee,could,could/existence,2,0.0241,8,83
min_committee,may,may/causative,14,0.4516,1,31
min_committee,may,may/copular_adj,13,0.4194,2,31
min_committee,may,may/occurrence,3,0.0968,3,31
min_committee,may,may/policy_action,1,0.0323,4,31
min_committee,should,should/communication,38,0.4471,1,85
min_committee,should,should/activity,21,0.2471,2,85
min_committee,should,should/other,12,0.1412,3,85
min_committee,should,should/aspectual,5,0.0588,4,85
min_committee,should,should/mental,3,0.0353,5,85
min_committee,should,should/existence,2,0.0235,6,85
min_committee,should,should/occurrence,2,0.0235,7,85
min_committee,should,should/copular_adj,1,0.0118,8,85
min_committee,should,should/causative,1,0.0118,9,85
min_committee,will,will/activity,11,0.2973,1,37
min_committee,will,will/copular_adj,8,0.2162,2,37
min_committee,will,will/policy_action,6,0.1622,3,37
min_committee,will,will/aspectual,4,0.1081,4,37
min_committee,will,will/other,2,0.0541,5,37
min_committee,will,will/causative,2,0.0541,6,37
min_committee,will,will/occurrence,2,0.0541,7,37
min_committee,will,will/mental,2,0.0541,8,37
min_committee,would,would/copular_adj,126,0.1752,1,719
min_committee,would,would/aspectual,116,0.1613,2,719
min_committee,would,would/activity,108,0.1502,3,719
min_committee,would,would/occurrence,89,0.1238,4,719
min_committee,would,would/mental,71,0.0987,5,719
min_committee,would,would/policy_action,56,0.0779,6,719
min_committee,would,would/existence,52,0.0723,7,719
min_committee,would,would/causative,48,0.0668,8,719
min_committee,would,would/other,26,0.0362,9,719
min_committee,would,would/communication,24,0.0334,10,719
min_committee,would,would/copular_nom,3,0.0042,11,719
min_participants,can,can/copular_adj,2,0.25,1,8
min_participants,can,can/activity,2,0.25,2,8
min_participants,can,can/communication,1,0.125,3,8
min_participants,can,can/causative,1,0.125,4,8
min_participants,can,can/policy_action,1,0.125,5,8
min_participants,can,can/other,1,0.125,6,8
min_participants,could,could/causative,248,0.2834,1,875
min_participants,could,could/other,148,0.1691,2,875
min_participants,could,could/occurrence,132,0.1509,3,875
min_participants,could,could/activity,114,0.1303,4,875
min_participants,could,could/policy_action,55,0.0629,5,875
min_participants,could,could/copular_adj,52,0.0594,6,875
min_participants,could,could/existence,38,0.0434,7,875
min_participants,could,could/mental,21,0.024,8,875
min_participants,could,could/copular_nom,20,0.0229,9,875
min_participants,could,could/aspectual,20,0.0229,10,875
min_participants,could,could/communication,16,0.0183,11,875
min_participants,could,could/copular_prep,9,0.0103,12,875
min_participants,could,could/copular_adv,2,0.0023,13,875
min_participants,may,may/copular_adj,42,0.2675,1,157
min_participants,may,may/other,23,0.1465,2,157
min_participants,may,may/causative,20,0.1274,3,157
min_participants,may,may/occurrence,19,0.121,4,157
min_participants,may,may/policy_action,13,0.0828,5,157
min_participants,may,may/existence,9,0.0573,6,157
min_participants,may,may/copular_nom,7,0.0446,7,157
min_participants,may,may/aspectual,7,0.0446,8,157
min_participants,may,may/communication,7,0.0446,9,157
min_participants,may,may/activity,6,0.0382,10,157
min_participants,may,may/copular_prep,3,0.0191,11,157
min_participants,may,may/mental,1,0.0064,12,157
min_participants,should,should/other,31,0.2081,1,149
min_participants,should,should/aspectual,20,0.1342,2,149
min_participants,should,should/occurrence,18,0.1208,3,149
min_participants,should,should/activity,16,0.1074,4,149
min_participants,should,should/policy_action,16,0.1074,5,149
min_participants,should,should/mental,15,0.1007,6,149
min_participants,should,should/communication,10,0.0671,7,149
min_participants,should,should/copular_nom,9,0.0604,8,149
min_participants,should,should/copular_adj,6,0.0403,9,149
min_participants,should,should/causative,5,0.0336,10,149
min_participants,should,should/existence,3,0.0201,11,149
min_participants,will,will/existence,5,0.1667,1,30
min_participants,will,will/other,5,0.1667,2,30
min_participants,will,will/occurrence,5,0.1667,3,30
min_participants,will,will/copular_adj,4,0.1333,4,30
min_participants,will,will/causative,4,0.1333,5,30
min_participants,will,will/activity,3,0.1,6,30
min_participants,will,will/policy_action,2,0.0667,7,30
min_participants,will,will/copular_nom,1,0.0333,8,30
min_participants,will,will/communication,1,0.0333,9,30
min_participants,would,would/copular_adj,321,0.2088,1,1537
min_participants,would,would/other,213,0.1386,2,1537
min_participants,would,would/occurrence,187,0.1217,3,1537
min_participants,would,would/activity,158,0.1028,4,1537
min_participants,would,would/causative,155,0.1008,5,1537
min_participants,would,would/policy_action,152,0.0989,6,1537
min_participants,would,would/aspectual,120,0.0781,7,1537
min_participants,would,would/existence,93,0.0605,8,1537
min_participants,would,would/mental,75,0.0488,9,1537
min_participants,would,would/copular_nom,31,0.0202,10,1537
min_participants,would,would/communication,21,0.0137,11,1537
min_participants,would,would/copular_prep,11,0.0072,12,1537
min_special,can,can/other,5,0.2381,1,21
min_special,can,can/occurrence,4,0.1905,2,21
min_special,can,can/policy_action,4,0.1905,3,21
min_special,can,can/causative,3,0.1429,4,21
min_special,can,can/copular_adj,2,0.0952,5,21
min_special,can,can/activity,2,0.0952,6,21
min_special,can,can/existence,1,0.0476,7,21
min_special,could,could/other,68,0.2403,1,283
min_special,could,could/activity,51,0.1802,2,283
min_special,could,could/causative,40,0.1413,3,283
min_special,could,could/policy_action,39,0.1378,4,283
min_special,could,could/occurrence,23,0.0813,5,283
min_special,could,could/copular_adj,23,0.0813,6,283
min_special,could,could/mental,11,0.0389,7,283
min_special,could,could/existence,9,0.0318,8,283
min_special,could,could/aspectual,7,0.0247,9,283
min_special,could,could/communication,7,0.0247,10,283
min_special,could,could/copular_nom,5,0.0177,11,283
min_special,may,may/causative,7,0.25,1,28
min_special,may,may/policy_action,6,0.2143,2,28
min_special,may,may/copular_adj,5,0.1786,3,28
min_special,may,may/copular_nom,3,0.1071,4,28
min_special,may,may/activity,3,0.1071,5,28
min_special,may,may/copular_prep,2,0.0714,6,28
min_special,may,may/other,2,0.0714,7,28
min_special,should,should/other,18,0.3103,1,58
min_special,should,should/policy_action,9,0.1552,2,58
min_special,should,should/copular_nom,7,0.1207,3,58
min_special,should,should/aspectual,6,0.1034,4,58
min_special,should,should/activity,5,0.0862,5,58
min_special,should,should/existence,4,0.069,6,58
min_special,should,should/occurrence,3,0.0517,7,58
min_special,should,should/copular_adj,3,0.0517,8,58
min_special,should,should/communication,1,0.0172,9,58
min_special,should,should/causative,1,0.0172,10,58
min_special,should,should/mental,1,0.0172,11,58
min_special,will,will/policy_action,9,0.1837,1,49
min_special,will,will/other,9,0.1837,2,49
min_special,will,will/existence,8,0.1633,3,49
min_special,will,will/aspectual,6,0.1224,4,49
min_special,will,will/activity,4,0.0816,5,49
min_special,will,will/occurrence,4,0.0816,6,49
min_special,will,will/mental,3,0.0612,7,49
min_special,will,will/copular_nom,2,0.0408,8,49
min_special,will,will/copular_adj,2,0.0408,9,49
min_special,will,will/causative,1,0.0204,10,49
min_special,will,will/copular_prep,1,0.0204,11,49
min_special,would,would/copular_adj,90,0.2616,1,344
min_special,would,would/other,62,0.1802,2,344
min_special,would,would/activity,40,0.1163,3,344
min_special,would,would/policy_action,33,0.0959,4,344
min_special,would,would/causative,29,0.0843,5,344
min_special,would,would/existence,23,0.0669,6,344
min_special,would,would/aspectual,21,0.061,7,344
min_special,would,would/communication,15,0.0436,8,344
min_special,would,would/copular_nom,11,0.032,9,344
min_special,would,would/occurrence,11,0.032,10,344
min_special,would,would/mental,8,0.0233,11,344
min_special,would,would/copular_prep,1,0.0029,12,344
min_staff,can,can/copular_adj,1,0.5,1,2
min_staff,can,can/other,1,0.5,2,2
min_staff,could,could/occurrence,43,0.3258,1,132
min_staff,could,could/other,21,0.1591,2,132
min_staff,could,could/causative,18,0.1364,3,132
min_staff,could,could/policy_action,14,0.1061,4,132
min_staff,could,could/mental,9,0.0682,5,132
min_staff,could,could/existence,7,0.053,6,132
min_staff,could,could/activity,7,0.053,7,132
min_staff,could,could/copular_adj,5,0.0379,8,132
min_staff,could,could/aspectual,4,0.0303,9,132
min_staff,could,could/communication,2,0.0152,10,132
min_staff,could,could/copular_nom,2,0.0152,11,132
min_staff,may,may/occurrence,24,0.4211,1,57
min_staff,may,may/copular_adj,12,0.2105,2,57
min_staff,may,may/other,8,0.1404,3,57
min_staff,may,may/causative,7,0.1228,4,57
min_staff,may,may/existence,3,0.0526,5,57
min_staff,may,may/activity,2,0.0351,6,57
min_staff,may,may/policy_action,1,0.0175,7,57
min_staff,should,should/other,2,0.4,1,5
min_staff,should,should/mental,1,0.2,2,5
min_staff,should,should/aspectual,1,0.2,3,5
min_staff,should,should/occurrence,1,0.2,4,5
min_staff,will,will/other,6,0.375,1,16
min_staff,will,will/policy_action,3,0.1875,2,16
min_staff,will,will/causative,2,0.125,3,16
min_staff,will,will/aspectual,2,0.125,4,16
min_staff,will,will/existence,2,0.125,5,16
min_staff,will,will/communication,1,0.0625,6,16
min_staff,would,would/occurrence,103,0.315,1,327
min_staff,would,would/policy_action,58,0.1774,2,327
min_staff,would,would/other,42,0.1284,3,327
min_staff,would,would/copular_adj,41,0.1254,4,327
min_staff,would,would/activity,23,0.0703,5,327
min_staff,would,would/causative,22,0.0673,6,327
min_staff,would,would/aspectual,12,0.0367,7,327
min_staff,would,would/copular_prep,9,0.0275,8,327
min_staff,would,would/copular_nom,7,0.0214,9,327
min_staff,would,would/existence,6,0.0183,10,327
min_staff,would,would/communication,4,0.0122,11,327
min_staff_desk,can,can/policy_action,2,0.4,1,5
min_staff_desk,can,can/other,2,0.4,2,5
min_staff_desk,can,can/occurrence,1,0.2,3,5
min_staff_desk,could,could/occurrence,25,0.1812,1,138
min_staff_desk,could,could/causative,24,0.1739,2,138
min_staff_desk,could,could/activity,21,0.1522,3,138
min_staff_desk,could,could/other,17,0.1232,4,138
min_staff_desk,could,could/policy_action,15,0.1087,5,138
min_staff_desk,could,could/mental,11,0.0797,6,138
min_staff_desk,could,could/aspectual,9,0.0652,7,138
min_staff_desk,could,could/copular_adj,6,0.0435,8,138
min_staff_desk,could,could/existence,5,0.0362,9,138
min_staff_desk,could,could/communication,2,0.0145,10,138
min_staff_desk,could,could/copular_nom,2,0.0145,11,138
min_staff_desk,could,could/copular_prep,1,0.0072,12,138
min_staff_desk,may,may/occurrence,10,0.2439,1,41
min_staff_desk,may,may/causative,10,0.2439,2,41
min_staff_desk,may,may/other,6,0.1463,3,41
min_staff_desk,may,may/copular_adj,5,0.122,4,41
min_staff_desk,may,may/activity,4,0.0976,5,41
min_staff_desk,may,may/copular_prep,3,0.0732,6,41
min_staff_desk,may,may/policy_action,2,0.0488,7,41
min_staff_desk,may,may/mental,1,0.0244,8,41
min_staff_desk,should,should/other,10,0.3704,1,27
min_staff_desk,should,should/policy_action,3,0.1111,2,27
min_staff_desk,should,should/occurrence,3,0.1111,3,27
min_staff_desk,should,should/causative,3,0.1111,4,27
min_staff_desk,should,should/activity,2,0.0741,5,27
min_staff_desk,should,should/aspectual,2,0.0741,6,27
min_staff_desk,should,should/mental,2,0.0741,7,27
min_staff_desk,should,should/existence,1,0.037,8,27
min_staff_desk,should,should/copular_adj,1,0.037,9,27
min_staff_desk,will,will/other,9,0.2571,1,35
min_staff_desk,will,will/policy_action,5,0.1429,2,35
min_staff_desk,will,will/aspectual,5,0.1429,3,35
min_staff_desk,will,will/occurrence,5,0.1429,4,35
min_staff_desk,will,will/causative,2,0.0571,5,35
min_staff_desk,will,will/existence,2,0.0571,6,35
min_staff_desk,will,will/copular_adj,2,0.0571,7,35
min_staff_desk,will,will/activity,2,0.0571,8,35
min_staff_desk,will,will/copular_nom,1,0.0286,9,35
min_staff_desk,will,will/copular_prep,1,0.0286,10,35
min_staff_desk,will,will/communication,1,0.0286,11,35
min_staff_desk,would,would/other,62,0.202,1,307
min_staff_desk,would,would/policy_action,46,0.1498,2,307
min_staff_desk,would,would/copular_adj,39,0.127,3,307
min_staff_desk,would,would/aspectual,37,0.1205,4,307
min_staff_desk,would,would/occurrence,36,0.1173,5,307
min_staff_desk,would,would/activity,31,0.101,6,307
min_staff_desk,would,would/existence,14,0.0456,7,307
min_staff_desk,would,would/communication,12,0.0391,8,307
min_staff_desk,would,would/copular_nom,10,0.0326,9,307
min_staff_desk,would,would/mental,10,0.0326,10,307
min_staff_desk,would,would/causative,9,0.0293,11,307
min_staff_desk,would,would/copular_prep,1,0.0033,12,307
