date,CFNAI,CFNAIMA3,UNRATE,NROU,COREPCE_YOY,VIX_M,UNRATE_GAP,COREPCE_GAP
2008-01-01,-0.23,-0.25,5.0,5.04870025100836,2.1930442128977656,25.816190476190474,-0.04870025100836006,0.19304421289776563
2008-02-01,-0.8,-0.49,4.9,5.04870025100836,2.072405395279131,25.456,-0.1487002510083597,0.07240539527913104
2008-03-01,-0.79,-0.61,5.1,5.04870025100836,2.169742905934924,27.103500000000004,0.05129974899163958,0.1697429059349238
2008-04-01,-0.67,-0.75,5.0,5.0491596582576,2.0837226686600596,21.562727272727273,-0.049159658257599936,0.08372266866005962
2008-05-01,-0.84,-0.77,5.4,5.0491596582576,2.148931950488242,18.303333333333335,0.3508403417424004,0.14893195048824204
2008-06-01,-0.72,-0.74,5.6,5.0491596582576,2.2140952025996308,22.11047619047619,0.5508403417423997,0.21409520259963077
2008-07-01,-1.21,-0.92,5.8,5.04923570796679,2.244499232451047,24.321818181818184,0.7507642920332094,0.2444992324510471
2008-08-01,-1.26,-1.06,6.1,5.04923570796679,2.217938594453983,20.695714285714285,1.0507642920332092,0.21793859445398311
2008-09-01,-2.58,-1.68,6.1,5.04923570796679,2.0439832775532407,30.23857142857143,1.0507642920332092,0.04398327755324072
2008-10-01,-1.13,-1.66,6.5,5.048839829099929,1.6344021437811884,61.17739130434782,1.4511601709000708,-0.3655978562188116
2008-11-01,-2.35,-2.02,6.8,5.048839829099929,1.3902658335831042,62.66894736842105,1.7511601709000706,-0.6097341664168958
2008-12-01,-2.68,-2.05,7.3,5.048839829099929,1.137827887712839,52.405,2.2511601709000706,-0.8621721122871611
2009-01-01,-3.04,-2.69,7.8,5.04788315494425,0.9059281457752144,44.683,2.75211684505575,-1.0940718542247856
2009-02-01,-1.24,-2.32,8.3,5.04788315494425,0.8878386748950362,45.57052631578947,3.2521168450557507,-1.1121613251049638
2009-03-01,-2.35,-2.21,8.7,5.04788315494425,0.762458642915198,44.79545454545455,3.6521168450557493,-1.237541357084802
2009-04-01,-1.61,-1.73,9.0,5.0462779346793685,0.9279176201372863,38.063809523809525,3.9537220653206315,-1.0720823798627137
2009-05-01,-1.2,-1.72,9.4,5.0462779346793685,0.8223026759099472,31.977999999999998,4.353722065320632,-1.1776973240900528
2009-06-01,-0.94,-1.25,9.5,5.0462779346793685,0.7201458523245163,29.140454545454546,4.4537220653206315,-1.2798541476754837
