layer,modal,n,neg,passive,perfect,progressive,cond,reported,question,contracted
statement,will,607,0.0,0.002,0.0,0.0,0.041,0.234,0.0,0.0
statement,would,49,0.0,0.0,0.0,0.0,0.939,0.041,0.0,0.0
statement,could,50,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0
statement,should,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
statement,may,27,0.0,0.074,0.0,0.0,0.037,0.074,0.0,0.0
speech_chair,will,1169,0.034,0.049,0.003,0.024,0.157,0.132,0.015,0.008
speech_chair,would,573,0.047,0.065,0.082,0.009,0.288,0.157,0.01,0.009
speech_chair,could,355,0.017,0.073,0.039,0.014,0.282,0.115,0.014,0.0
speech_chair,can,514,0.123,0.117,0.0,0.004,0.212,0.066,0.045,0.0
speech_chair,should,210,0.081,0.186,0.01,0.033,0.162,0.214,0.076,0.0
speech_chair,may,382,0.055,0.097,0.118,0.068,0.191,0.092,0.01,0.0
