block,layer,series,N,mean,sd,min,max,zero_share,AR1
macro,statement,CFNAI-MA3 (m−2),101,-0.09,1.101,-7.55,4.58,,0.25
macro,statement,VIX pre-28d,101,18.347,6.694,10.19,50.277,,0.756
macro,statement,Unemployment gap (m−1),101,0.175,1.43,-1.034,8.741,,0.766
macro,statement,Core PCE gap (m−2),101,0.448,1.297,-1.005,3.606,,0.983
text,speech_chair,ALL,124,12.787,4.789,1.637,26.19,0.0,-0.044
text,speech_chair,can,124,2.365,1.879,0.0,9.47,0.121,0.111
text,speech_chair,could,124,1.18,1.273,0.0,5.708,0.355,0.012
text,speech_chair,may,124,1.425,1.449,0.0,11.111,0.266,0.091
text,speech_chair,should,124,0.739,0.979,0.0,6.525,0.452,0.117
text,speech_chair,will,124,5.121,3.013,0.0,15.317,0.04,-0.063
text,speech_chair,would,124,1.957,1.602,0.0,6.699,0.202,0.14
text,statement,ALL,101,18.476,4.012,10.169,26.385,0.0,0.814
text,statement,could,101,1.446,1.562,0.0,4.237,0.505,0.973
text,statement,should,101,0.539,0.908,0.0,2.538,0.733,0.968
text,statement,will,101,14.365,3.146,7.353,21.951,0.0,0.625
text,statement,would,101,1.46,1.631,0.0,4.435,0.535,0.942
