layer,modal,predicate,doc_id,date,kwic
speech_chair,will,continue,speech_powell_20240930a,2024-09-30,"…The risks are two-sided, and we [will] continue to make our decisions meeting by meeting.…"
speech_chair,will,continue,speech_yellen_20140331a,2014-03-31,"…This commitment is strong, and I believe the Fed's policies [will] continue to help sustain progress in the job market.…"
speech_chair,will,discuss,speech_yellen_20150327a,2015-03-27,…In my remarks today I [will] discuss some factors that will likely guide our decisions as we adjus…
speech_chair,will,discuss,speech_powell_20180824a,2018-08-24,"…As I [will] discuss, the job of avoiding these errors is made challenging today b…"
speech_chair,will,need,speech_yellen_20160826a,2016-08-26,"…Looking ahead, we [will] likely need to retain many of the monetary policy tools that were dev…"
speech_chair,will,need,speech_yellen_20170926a,2017-09-26,"…As a result, we [will] need to carefully monitor the incoming data and, as warranted, adjust…"
speech_chair,will,take,speech_yellen_20160606a,2016-06-06,…[Will] the economic situation in Europe or China take a turn for the worse o…
speech_chair,will,take,speech_powell_20250923a,2025-09-23,…Tariff increases [will] likely take some time to work their way through supply chains.…
speech_chair,will,turn,speech_yellen_20150522a,2015-05-22,"…ojections, I can assure you that any specific projection I write down [will] turn out to be wrong, perhaps markedly so.…"
speech_chair,will,turn,speech_powell_20240823a,2024-08-23,…I [will] then turn to a discussion of economic events since the pandemic arriv…
speech_chair,would,like,speech_yellen_20150924a,2015-09-24,…I [would] like to thank Michael Ash for his kind introduction and the Universit…
speech_chair,would,like,speech_powell_20181128a,2018-11-28,I'd like to conclude by putting financial stability and our two new reports in a longer-term context.
speech_chair,would,expect,speech_yellen_20140331a,2014-03-31,"…This number is much larger than we [would] expect at 6.7 percent unemployment, based on past experience, and the…"
speech_chair,would,expect,speech_yellen_20150327a,2015-03-27,…Labor force participation is still somewhat lower than I [would] expect after accounting for demographic trends.…
speech_chair,would,have,speech_powell_20191008a,2019-10-08,"…that may accompany higher oil prices, we now judge that a price spike [would] likely have nearly offsetting effects on U.S. gross domestic product …"
speech_chair,would,have,speech_powell_20251201a,2025-12-01,…It didn't occur to me that I [would] ever have the honor of meeting him.…
speech_chair,would,be+appropriate,speech_powell_20250515a,2025-05-15,"… discussions so far, participants have indicated that they thought it [would] be appropriate to reconsider the language around shortfalls.…"
speech_chair,would,be+appropriate,speech_yellen_20150303a,2015-03-03,"…en New York's preeminence as a center of global finance, I thought it [would] be appropriate to discuss just such a topic, which is how the Federal…"
speech_chair,would,need,speech_powell_20251014a,2025-10-14,"…e rate control, large sales of securities over a short period of time [would] be needed to shrink our balance sheet and the quantity of reserves in…"
speech_chair,would,need,speech_yellen_20170119a,2017-01-19,…h the federal funds rate below zero by indicating that the funds rate [would] need to stay unusually low for longer than would otherwise be expecte…
speech_chair,could,have,speech_yellen_20150327a,2015-03-27,"… in short-term interest rates to arrest such an unwelcome development [could], in turn, have adverse effects on financial markets and the broader e…"
speech_chair,could,have,speech_yellen_20160826a,2016-08-26,"…Thus, even small open market operations [could] have a significant effect on the federal funds rate.…"
speech_chair,could,help,speech_powell_20201006a,2020-10-06,…We identified three ways that our tools [could] help limit the economic damage from the pandemic: providing stability…
speech_chair,could,help,speech_powell_20220617a,2022-06-17,"…As the Fed's white paper on this topic notes, a U.S. CBDC [could] also potentially help maintain the dollar's international standing.…"
speech_chair,could,do,speech_yellen_20170112a,2017-01-12,"…Whenever I am asked what policies and initiatives [could] do the most to spur economic growth and raise living standards, impro…"
speech_chair,could,do,speech_powell_20201006a,2020-10-06,…Some asked what the Fed [could] do to address what was essentially a medical emergency.…
speech_chair,could,lead,speech_yellen_20170119a,2017-01-19,…of persistently low interest rates and strong labor market conditions [could] lead to undesirable increases in leverage and other financial imbalan…
speech_chair,could,lead,speech_powell_20190308a,2019-03-08,"…Persistently weak inflation [could] lead inflation expectations to drift downward, which would imply stil…"
speech_chair,could,prove,speech_yellen_20170926a,2017-09-26,"…If so, stabilizing inflation at around 2 percent [could] prove to be more difficult than expected.…"
speech_chair,could,prove,speech_yellen_20150522a,2015-05-22,"…For many reasons, output and job growth over the next few years [could] prove to be stronger, and inflation higher, than I expect; correspond…"
speech_chair,can,help,speech_yellen_20170323a,2017-03-23,"…I believe that data, evidence, and research [can] help policymakers and practitioners think more clearly about the impl…"
speech_chair,can,help,speech_yellen_20161219a,2016-12-19,…Improvements in elementary and secondary education [can] help prepare more people for college and the opportunities college ma…
speech_chair,can,do,speech_yellen_20161014a,2016-10-14,…Finally--and most importantly--what [can] monetary policy and financial oversight do to reduce the frequency an…
speech_chair,can,do,speech_yellen_20140501a,2014-05-01,"…use, and I have felt strongly ever since that the Fed must do what it [can] to ensure that the actions taken following the crisis do not place un…"
speech_chair,can,see,speech_powell_20190308a,2019-03-08,"…As you [can] see, if you are too focused on a few dots, you may miss the larger pi…"
speech_chair,can,see,speech_powell_20191008a,2019-10-08,"…In 1987, Nobel Prize–winning economist Robert Solow quipped that ""you [can] see the computer age everywhere but in the productivity statistics.""…"
speech_chair,can,find,speech_powell_20180824a,2018-08-24,…Most people who want jobs [can] find them.…
speech_chair,can,find,speech_powell_20190206a,2019-02-06,…You [can] find some of those resources at our websites: FederalReserve.gov and …
speech_chair,can,make,speech_powell_20180620a,2018-06-20,…Such conditions [can] make the financial system better able to absorb shocks through strong…
speech_chair,can,make,speech_powell_20191125a,2019-11-25,"…hat this dynamic is very difficult to reverse, and once under way, it [can] make it harder for a central bank to support its economy by further l…"
speech_chair,should,take,speech_yellen_20160826a,2016-08-26,"…Once we stop reinvestment, it [should] take several years for our asset holdings--and the bank reserves used…"
speech_chair,should,take,speech_yellen_20140702a,2014-07-02,…Additional measures [should] be taken to address residual risks in the short-term wholesale fundin…
speech_chair,should,continue,speech_powell_20201006a,2020-10-06,…We [should] continue do what we can to manage downside risks to the outlook.…
speech_chair,should,continue,speech_powell_20181206a,2018-12-06,…ng our CRA modernization work is that any redesign of CRA regulations [should] continue to encourage banks to seek opportunities in underserved area…
speech_chair,should,note,speech_yellen_20140416a,2014-04-16,…I [should] note that the change in the forward guidance did not indicate a chang…
speech_chair,should,note,speech_powell_20190716a,2019-07-16,"…I [should] also note, as is fitting given this event and this audience, that sin…"
speech_chair,should,consider,speech_yellen_20160606a,2016-06-06,"… to monetary policy, and measures beyond the scope of monetary policy [should] be considered to alleviate the economic challenges that these and oth…"
speech_chair,should,consider,speech_powell_20190604a,2019-06-04,"…s statutory objectives with its existing monetary policy strategy, or [should] it consider strategies that aim to reverse past misses of the inflati…"
speech_chair,should,adjust,speech_yellen_20170119a,2017-01-19,…les can serve as useful benchmarks to help assess how monetary policy [should] be adjusted over time.…
speech_chair,should,adjust,speech_yellen_20170119a,2017-01-19,… helpful in providing broad guidance about how the federal funds rate [should] be adjusted over time in response to movements in real activity and i…
speech_chair,may,use,speech_powell_20211129a,2021-11-29,…The [Tab] key [may] be used in combination with the [Enter/Return] key to navigate and ac…
speech_chair,may,use,speech_powell_20260321a,2026-03-21,…The [Tab] key [may] be used in combination with the [Enter/Return] key to navigate and ac…
speech_chair,may,reflect,speech_yellen_20140822a,2014-08-22,"…tors, and existing evidence suggests that the elevated levels of both [may] partly reflect perceptions of poor job prospects.…"
speech_chair,may,reflect,speech_yellen_20140822a,2014-08-22,"…gain, however, some portion of the rise in involuntary part-time work [may] reflect structural rather than cyclical factors.…"
speech_chair,may,help,speech_yellen_20140702a,2014-07-02,"…me advocates of the view that a substantially tighter monetary policy [may] have helped prevent the crisis might acknowledge these points, but th…"
speech_chair,may,help,speech_yellen_20140702a,2014-07-02,"…ry capital framework includes a countercyclical capital buffer, which [may] help build additional loss-absorbing capacity within the financial se…"
speech_chair,may,hold,speech_yellen_20151202a,2015-12-02,"…Taking account of these effects, which [may] be holding down core inflation by around 1/4 to 1/2 percentage point,…"
speech_chair,may,hold,speech_powell_20200827a,2020-08-27,"…tant driver of actual inflation, and global disinflationary pressures [may] have been holding down inflation more than was generally anticipated.…"
speech_chair,may,need,speech_yellen_20171020a,2017-10-20,"… in response to an economic downturn, raising the possibility that we [may] need to resort again to enhanced forward rate guidance and asset purc…"
speech_chair,may,need,speech_yellen_20160826a,2016-08-26,"…ially, IOER will still be important as a contingency tool, because we [may] need to purchase assets during future recessions to supplement conven…"
