block,layer,series,N,mean,sd,min,max,zero_share,AR1
macro,speech_chair,CFNAI-MA3 (m−2),124,-0.107,0.817,-7.55,3.41,,0.344
macro,speech_chair,VIX pre-28d,124,17.504,6.308,9.794,61.041,,0.582
macro,speech_chair,Unemployment gap (m−1),124,0.316,1.803,-0.975,10.341,,0.836
macro,speech_chair,Core PCE gap (m−2),124,0.289,1.142,-1.03,3.606,,0.976
text,speech_chair,ALL,124,12.787,4.789,1.637,26.19,0.0,-0.044
text,speech_chair,can,124,2.365,1.879,0.0,9.47,0.121,0.111
text,speech_chair,could,124,1.18,1.273,0.0,5.708,0.355,0.012
text,speech_chair,may,124,1.425,1.449,0.0,11.111,0.266,0.091
text,speech_chair,should,124,0.739,0.979,0.0,6.525,0.452,0.117
text,speech_chair,will,124,5.121,3.013,0.0,15.317,0.04,-0.063
text,speech_chair,would,124,1.957,1.602,0.0,6.699,0.202,0.14
