event,event_date,layer,series,pre3,at,post3
QE3 ends,2014-10-29,min_committee,ALL,13.939,15.55,17.193
QE3 ends,2014-10-29,min_committee,could,0.493,0.0,0.0
QE3 ends,2014-10-29,min_committee,could+impede,0.0,0.0,0.0
QE3 ends,2014-10-29,min_committee,should,0.0,2.392,5.069
QE3 ends,2014-10-29,min_committee,will,0.421,0.0,1.623
QE3 ends,2014-10-29,min_committee,would,12.112,11.962,7.981
QE3 ends,2014-10-29,min_committee,would+assess,0.917,0.0,0.0
QE3 ends,2014-10-29,min_committee,would+be+appropriate,1.338,1.196,0.42
QE3 ends,2014-10-29,min_committee,would+continue,1.338,0.0,1.26
QE3 ends,2014-10-29,min_committee,would+depend,0.914,1.196,1.652
QE3 ends,2014-10-29,min_committee,would+take,0.0,0.0,0.392
First hike (liftoff),2015-12-16,min_committee,ALL,15.299,15.311,13.847
First hike (liftoff),2015-12-16,min_committee,could,1.503,1.914,1.291
First hike (liftoff),2015-12-16,min_committee,could+impede,0.0,0.0,0.0
First hike (liftoff),2015-12-16,min_committee,should,1.209,1.914,1.291
First hike (liftoff),2015-12-16,min_committee,will,2.09,0.957,0.0
First hike (liftoff),2015-12-16,min_committee,would,9.301,9.569,10.842
First hike (liftoff),2015-12-16,min_committee,would+assess,0.587,0.0,0.793
First hike (liftoff),2015-12-16,min_committee,would+be+appropriate,0.902,0.0,0.922
First hike (liftoff),2015-12-16,min_committee,would+continue,0.594,0.957,2.084
First hike (liftoff),2015-12-16,min_committee,would+depend,0.608,0.957,0.424
First hike (liftoff),2015-12-16,min_committee,would+take,0.608,0.0,0.793
Normalization addendum,2017-06-14,min_committee,ALL,17.057,13.846,16.312
Normalization addendum,2017-06-14,min_committee,could,0.691,0.0,0.0
Normalization addendum,2017-06-14,min_committee,could+impede,0.0,0.0,0.0
Normalization addendum,2017-06-14,min_committee,should,1.591,0.0,0.514
Normalization addendum,2017-06-14,min_committee,will,0.0,0.0,0.0
Normalization addendum,2017-06-14,min_committee,would,14.43,13.846,15.799
Normalization addendum,2017-06-14,min_committee,would+assess,1.245,1.538,0.0
Normalization addendum,2017-06-14,min_committee,would+be+appropriate,0.0,0.0,0.435
Normalization addendum,2017-06-14,min_committee,would+continue,1.591,0.0,0.435
Normalization addendum,2017-06-14,min_committee,would+depend,1.245,1.538,2.89
Normalization addendum,2017-06-14,min_committee,would+take,1.245,1.538,0.435
Balance-sheet runoff,2017-10-01,min_committee,ALL,15.713,15.645,16.911
Balance-sheet runoff,2017-10-01,min_committee,could,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,could+impede,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,should,0.514,0.0,0.527
Balance-sheet runoff,2017-10-01,min_committee,will,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,would,15.199,15.645,16.384
Balance-sheet runoff,2017-10-01,min_committee,would+assess,0.513,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,would+be+appropriate,0.0,1.304,0.965
Balance-sheet runoff,2017-10-01,min_committee,would+continue,0.0,1.304,0.0
Balance-sheet runoff,2017-10-01,min_committee,would+depend,2.534,2.608,2.982
Balance-sheet runoff,2017-10-01,min_committee,would+take,0.513,1.304,2.018
Powell chair,2018-02-05,min_committee,ALL,16.037,18.265,11.232
Powell chair,2018-02-05,min_committee,could,0.0,0.0,1.151
