layer,modal,subj_type,n,share
min_committee,will,econ,11,0.297
min_committee,will,other,9,0.243
min_committee,will,it_there_rel,7,0.189
min_committee,will,committee,6,0.162
min_committee,will,person,4,0.108
min_committee,would,econ,198,0.275
min_committee,would,person,175,0.243
min_committee,would,other,158,0.22
min_committee,would,it_there_rel,112,0.156
min_committee,would,committee,74,0.103
min_committee,would,none,2,0.003
min_committee,could,it_there_rel,54,0.651
min_committee,could,other,16,0.193
min_committee,could,econ,10,0.12
min_committee,could,committee,3,0.036
min_committee,should,other,45,0.529
min_committee,should,econ,21,0.247
min_committee,should,committee,11,0.129
min_committee,should,person,3,0.035
min_committee,should,it_there_rel,3,0.035
min_committee,should,none,2,0.024
min_committee,may,econ,16,0.516
min_committee,may,it_there_rel,8,0.258
min_committee,may,other,6,0.194
min_committee,may,risks,1,0.032
pc_chair,will,we_I,1813,0.418
pc_chair,will,it_there_rel,972,0.224
pc_chair,will,econ,596,0.137
pc_chair,will,other,496,0.114
pc_chair,will,person,340,0.078
pc_chair,will,committee,73,0.017
pc_chair,will,none,33,0.008
pc_chair,will,fed,18,0.004
pc_chair,would,we_I,1752,0.56
pc_chair,would,it_there_rel,699,0.224
pc_chair,would,other,260,0.083
pc_chair,would,person,221,0.071
pc_chair,would,econ,140,0.045
pc_chair,would,none,34,0.011
pc_chair,would,committee,14,0.004
pc_chair,would,fed,4,0.001
pc_chair,would,risks,3,0.001
pc_chair,could,it_there_rel,262,0.419
pc_chair,could,other,104,0.166
pc_chair,could,we_I,99,0.158
pc_chair,could,person,83,0.133
pc_chair,could,econ,61,0.097
pc_chair,could,none,13,0.021
pc_chair,could,committee,3,0.005
pc_chair,could,fed,1,0.002
pc_chair,can,we_I,642,0.399
pc_chair,can,person,404,0.251
pc_chair,can,it_there_rel,183,0.114
pc_chair,can,none,144,0.089
pc_chair,can,other,125,0.078
pc_chair,can,econ,91,0.057
pc_chair,can,fed,18,0.011
pc_chair,can,committee,2,0.001
pc_chair,can,risks,1,0.001
pc_chair,should,we_I,122,0.245
pc_chair,should,it_there_rel,122,0.245
pc_chair,should,other,96,0.193
pc_chair,should,econ,79,0.159
pc_chair,should,person,67,0.135
pc_chair,should,none,6,0.012
pc_chair,should,fed,4,0.008
pc_chair,should,committee,1,0.002
pc_chair,may,it_there_rel,228,0.47
pc_chair,may,other,86,0.177
pc_chair,may,econ,61,0.126
pc_chair,may,we_I,58,0.12
pc_chair,may,person,45,0.093
pc_chair,may,none,6,0.012
pc_chair,may,fed,1,0.002
speech_chair,will,we_I,390,0.334
speech_chair,will,other,311,0.266
speech_chair,will,econ,207,0.177
speech_chair,will,it_there_rel,152,0.13
speech_chair,will,person,64,0.055
speech_chair,will,committee,27,0.023
speech_chair,will,fed,10,0.009
speech_chair,will,none,8,0.007
speech_chair,would,other,179,0.312
speech_chair,would,econ,123,0.215
speech_chair,would,it_there_rel,107,0.187
speech_chair,would,we_I,102,0.178
speech_chair,would,person,31,0.054
speech_chair,would,committee,17,0.03
speech_chair,would,fed,7,0.012
speech_chair,would,none,6,0.01
speech_chair,would,risks,1,0.002
speech_chair,could,other,125,0.352
speech_chair,could,econ,96,0.27
speech_chair,could,it_there_rel,64,0.18
speech_chair,could,person,30,0.085
speech_chair,could,we_I,28,0.079
speech_chair,could,none,5,0.014
speech_chair,could,committee,5,0.014
speech_chair,could,fed,2,0.006
speech_chair,can,other,151,0.294
speech_chair,can,we_I,109,0.212
speech_chair,can,econ,90,0.175
speech_chair,can,it_there_rel,67,0.13
speech_chair,can,person,48,0.093
speech_chair,can,none,28,0.054
speech_chair,can,fed,17,0.033
speech_chair,can,risks,2,0.004
speech_chair,can,committee,2,0.004
speech_chair,should,econ,64,0.305
speech_chair,should,other,56,0.267
speech_chair,should,we_I,44,0.21
speech_chair,should,it_there_rel,18,0.086
speech_chair,should,person,18,0.086
speech_chair,should,fed,4,0.019
speech_chair,should,none,3,0.014
speech_chair,should,committee,2,0.01
speech_chair,should,risks,1,0.005
speech_chair,may,other,171,0.448
speech_chair,may,econ,81,0.212
speech_chair,may,it_there_rel,79,0.207
speech_chair,may,person,29,0.076
speech_chair,may,we_I,15,0.039
speech_chair,may,none,3,0.008
speech_chair,may,committee,2,0.005
speech_chair,may,fed,1,0.003
speech_chair,may,risks,1,0.003
