layer,modal,vclass,n,share
statement,will,activity,132,0.2175
statement,will,aspectual,126,0.2076
statement,will,mental,105,0.173
statement,will,policy_action,57,0.0939
statement,will,copular_adj,51,0.084
statement,will,occurrence,47,0.0774
statement,will,causative,38,0.0626
statement,will,existence,29,0.0478
statement,will,communication,12,0.0198
statement,will,other,10,0.0165
statement,would,copular_adj,46,0.9388
statement,would,aspectual,2,0.0408
statement,would,policy_action,1,0.0204
statement,could,causative,50,1.0
statement,should,activity,21,0.6364
statement,should,policy_action,6,0.1818
statement,should,causative,6,0.1818
statement,may,causative,16,0.5926
statement,may,copular_adj,10,0.3704
statement,may,other,1,0.037
