layer,unit,n,share
min_committee,would/copular_adj,126,0.1315
min_committee,would/aspectual,116,0.1211
min_committee,would/activity,108,0.1127
min_committee,would/occurrence,89,0.0929
min_committee,would/mental,71,0.0741
min_committee,would/policy_action,56,0.0585
min_committee,could/causative,55,0.0574
min_committee,would/existence,52,0.0543
min_committee,would/causative,48,0.0501
min_committee,should/communication,38,0.0397
statement,will/activity,132,0.1714
statement,will/aspectual,126,0.1636
statement,will/mental,105,0.1364
statement,will/policy_action,57,0.074
statement,will/copular_adj,51,0.0662
statement,could/causative,50,0.0649
statement,will/occurrence,47,0.061
statement,would/copular_adj,46,0.0597
statement,will/causative,38,0.0494
statement,will/existence,29,0.0377
