block,layer,series,N,mean,sd,min,max,zero_share,AR1
macro,min_participants,CFNAI-MA3 (m−2),99,-0.089,1.112,-7.55,4.58,,0.25
macro,min_participants,VIX pre-28d,99,18.003,5.93,10.19,42.376,,0.682
macro,min_participants,Unemployment gap (m−1),99,0.198,1.435,-1.034,8.741,,0.763
macro,min_participants,Core PCE gap (m−2),99,0.466,1.304,-1.005,3.606,,0.983
text,min_committee,ALL,99,15.236,2.998,6.224,21.127,0.0,0.485
text,min_committee,could,99,1.44,1.091,0.0,4.184,0.293,0.51
text,min_committee,should,99,1.264,1.461,0.0,6.729,0.455,0.618
text,min_committee,will,99,0.592,1.391,0.0,7.519,0.778,0.656
text,min_committee,would,99,11.434,3.192,4.225,18.265,0.0,0.539
text,min_participants,ALL,99,12.267,2.779,6.219,21.058,0.0,0.334
text,min_participants,could,99,3.951,1.679,0.457,9.709,0.0,0.174
text,min_participants,may,99,0.711,0.74,0.0,3.152,0.323,0.154
text,min_participants,should,99,0.655,0.625,0.0,2.924,0.283,0.087
text,min_participants,would,99,6.784,2.066,2.157,14.381,0.0,0.373
text,min_special,ALL,40,19.24,6.407,6.427,31.461,0.0,0.41
text,min_special,could,40,6.046,4.849,0.0,19.759,0.2,0.242
text,min_special,should,40,1.518,1.831,0.0,8.951,0.325,-0.049
text,min_special,will,40,1.703,4.097,0.0,18.553,0.625,-0.067
text,min_special,would,40,8.941,5.189,1.692,26.786,0.0,0.14
text,min_staff,ALL,99,2.119,1.04,0.37,4.808,0.0,0.419
text,min_staff,could,99,0.534,0.547,0.0,2.375,0.364,0.574
text,min_staff,may,99,0.227,0.279,0.0,1.155,0.535,0.104
text,min_staff,would,99,1.266,0.696,0.0,3.205,0.071,0.238
text,min_staff_desk,ALL,99,6.629,5.135,0.0,21.642,0.152,0.198
text,min_staff_desk,could,99,1.625,1.893,0.0,7.22,0.434,0.118
text,min_staff_desk,may,99,0.485,0.876,0.0,4.124,0.717,0.108
text,min_staff_desk,should,99,0.287,0.842,0.0,6.173,0.838,0.195
text,min_staff_desk,will,99,0.456,0.937,0.0,3.906,0.768,-0.063
text,min_staff_desk,would,99,3.729,3.279,0.0,14.545,0.182,0.142
text,pc_chair,ALL,80,20.043,2.968,14.058,28.589,0.0,0.186
text,pc_chair,can,80,2.958,1.161,0.431,6.539,0.0,0.416
text,pc_chair,could,80,1.168,0.621,0.0,3.185,0.013,0.204
text,pc_chair,may,80,0.903,0.472,0.0,2.362,0.013,0.169
text,pc_chair,should,80,0.938,0.551,0.0,3.069,0.013,0.254
text,pc_chair,will,80,8.2,2.545,3.33,17.139,0.0,0.348
text,pc_chair,would,80,5.875,1.663,3.005,9.585,0.0,-0.091
