layer,modal,subj_type,n,share
statement,will,committee,270,0.445
statement,will,econ,138,0.227
statement,will,other,117,0.193
statement,will,it_there_rel,71,0.117
statement,will,fed,11,0.018
statement,would,committee,46,0.939
statement,would,it_there_rel,3,0.061
statement,could,it_there_rel,46,0.92
statement,could,econ,4,0.08
statement,should,econ,27,0.818
statement,should,it_there_rel,6,0.182
statement,may,econ,17,0.63
statement,may,other,5,0.185
statement,may,it_there_rel,5,0.185
min_committee,will,econ,11,0.297
min_committee,will,other,9,0.243
min_committee,will,it_there_rel,7,0.189
min_committee,will,committee,6,0.162
min_committee,will,person,4,0.108
min_committee,would,econ,198,0.275
min_committee,would,person,175,0.243
min_committee,would,other,158,0.22
min_committee,would,it_there_rel,112,0.156
min_committee,would,committee,74,0.103
min_committee,would,none,2,0.003
min_committee,could,it_there_rel,54,0.651
min_committee,could,other,16,0.193
min_committee,could,econ,10,0.12
min_committee,could,committee,3,0.036
min_committee,should,other,45,0.529
min_committee,should,econ,21,0.247
min_committee,should,committee,11,0.129
min_committee,should,person,3,0.035
min_committee,should,it_there_rel,3,0.035
min_committee,should,none,2,0.024
min_committee,may,econ,16,0.516
min_committee,may,it_there_rel,8,0.258
min_committee,may,other,6,0.194
min_committee,may,risks,1,0.032
pc_chair,will,we_I,1813,0.418
pc_chair,will,it_there_rel,972,0.224
pc_chair,will,econ,596,0.137
pc_chair,will,other,496,0.114
pc_chair,will,person,340,0.078
pc_chair,will,committee,73,0.017
pc_chair,will,none,33,0.008
pc_chair,will,fed,18,0.004
pc_chair,would,we_I,1752,0.56
pc_chair,would,it_there_rel,699,0.224
pc_chair,would,other,260,0.083
pc_chair,would,person,221,0.071
pc_chair,would,econ,140,0.045
pc_chair,would,none,34,0.011
pc_chair,would,committee,14,0.004
pc_chair,would,fed,4,0.001
pc_chair,would,risks,3,0.001
pc_chair,could,it_there_rel,262,0.419
pc_chair,could,other,104,0.166
pc_chair,could,we_I,99,0.158
pc_chair,could,person,83,0.133
pc_chair,could,econ,61,0.097
pc_chair,could,none,13,0.021
pc_chair,could,committee,3,0.005
pc_chair,could,fed,1,0.002
pc_chair,can,we_I,642,0.399
pc_chair,can,person,404,0.251
pc_chair,can,it_there_rel,183,0.114
pc_chair,can,none,144,0.089
pc_chair,can,other,125,0.078
pc_chair,can,econ,91,0.057
pc_chair,can,fed,18,0.011
pc_chair,can,committee,2,0.001
pc_chair,can,risks,1,0.001
pc_chair,should,we_I,122,0.245
pc_chair,should,it_there_rel,122,0.245
pc_chair,should,other,96,0.193
pc_chair,should,econ,79,0.159
pc_chair,should,person,67,0.135
pc_chair,should,none,6,0.012
pc_chair,should,fed,4,0.008
pc_chair,should,committee,1,0.002
pc_chair,may,it_there_rel,228,0.47
pc_chair,may,other,86,0.177
pc_chair,may,econ,61,0.126
pc_chair,may,we_I,58,0.12
pc_chair,may,person,45,0.093
pc_chair,may,none,6,0.012
pc_chair,may,fed,1,0.002
