layer,modal,vclass,n,share
statement,will,activity,132,0.2175
statement,will,aspectual,126,0.2076
statement,will,mental,105,0.173
statement,will,policy_action,57,0.0939
statement,will,copular_adj,51,0.084
statement,will,occurrence,47,0.0774
statement,will,causative,38,0.0626
statement,will,existence,29,0.0478
statement,will,communication,12,0.0198
statement,will,other,10,0.0165
statement,would,copular_adj,46,0.9388
statement,would,aspectual,2,0.0408
statement,would,policy_action,1,0.0204
statement,could,causative,50,1.0
statement,should,activity,21,0.6364
statement,should,policy_action,6,0.1818
statement,should,causative,6,0.1818
statement,may,causative,16,0.5926
statement,may,copular_adj,10,0.3704
statement,may,other,1,0.037
min_committee,will,activity,11,0.2973
min_committee,will,copular_adj,8,0.2162
min_committee,will,policy_action,6,0.1622
min_committee,will,aspectual,4,0.1081
min_committee,will,other,2,0.0541
min_committee,will,causative,2,0.0541
min_committee,will,occurrence,2,0.0541
min_committee,will,mental,2,0.0541
min_committee,would,copular_adj,126,0.1752
min_committee,would,aspectual,116,0.1613
min_committee,would,activity,108,0.1502
min_committee,would,occurrence,89,0.1238
min_committee,would,mental,71,0.0987
min_committee,would,policy_action,56,0.0779
min_committee,would,existence,52,0.0723
min_committee,would,causative,48,0.0668
min_committee,would,other,26,0.0362
min_committee,would,communication,24,0.0334
min_committee,would,copular_nom,3,0.0042
min_committee,could,causative,55,0.6627
min_committee,could,other,6,0.0723
min_committee,could,activity,6,0.0723
min_committee,could,copular_adj,5,0.0602
min_committee,could,occurrence,4,0.0482
min_committee,could,policy_action,3,0.0361
min_committee,could,copular_nom,2,0.0241
min_committee,could,existence,2,0.0241
min_committee,should,communication,38,0.4471
min_committee,should,activity,21,0.2471
min_committee,should,other,12,0.1412
min_committee,should,aspectual,5,0.0588
min_committee,should,mental,3,0.0353
min_committee,should,existence,2,0.0235
min_committee,should,occurrence,2,0.0235
min_committee,should,copular_adj,1,0.0118
min_committee,should,causative,1,0.0118
min_committee,may,causative,14,0.4516
min_committee,may,copular_adj,13,0.4194
min_committee,may,occurrence,3,0.0968
min_committee,may,policy_action,1,0.0323
pc_chair,will,activity,845,0.1947
pc_chair,will,mental,589,0.1357
pc_chair,will,other,431,0.0993
pc_chair,will,existence,430,0.0991
pc_chair,will,copular_adj,400,0.0921
pc_chair,will,aspectual,336,0.0774
pc_chair,will,policy_action,297,0.0684
pc_chair,will,copular_nom,287,0.0661
pc_chair,will,occurrence,275,0.0633
pc_chair,will,communication,267,0.0615
pc_chair,will,causative,105,0.0242
pc_chair,will,copular_prep,60,0.0138
pc_chair,will,copular_adv,19,0.0044
pc_chair,would,communication,846,0.2705
pc_chair,would,mental,475,0.1519
pc_chair,would,other,388,0.1241
pc_chair,would,activity,344,0.11
pc_chair,would,copular_adj,270,0.0863
pc_chair,would,existence,251,0.0803
pc_chair,would,copular_nom,219,0.07
pc_chair,would,policy_action,91,0.0291
pc_chair,would,causative,89,0.0285
pc_chair,would,aspectual,53,0.0169
pc_chair,would,occurrence,50,0.016
pc_chair,would,copular_prep,44,0.0141
pc_chair,would,copular_adv,7,0.0022
pc_chair,could,activity,110,0.1757
pc_chair,could,causative,88,0.1406
pc_chair,could,other,81,0.1294
pc_chair,could,existence,71,0.1134
pc_chair,could,copular_nom,54,0.0863
pc_chair,could,occurrence,51,0.0815
pc_chair,could,copular_adj,51,0.0815
pc_chair,could,mental,43,0.0687
pc_chair,could,communication,27,0.0431
pc_chair,could,policy_action,23,0.0367
pc_chair,could,copular_prep,17,0.0272
pc_chair,could,aspectual,9,0.0144
pc_chair,could,copular_adv,1,0.0016
pc_chair,can,activity,428,0.2658
pc_chair,can,other,351,0.218
pc_chair,can,mental,237,0.1472
pc_chair,can,communication,155,0.0963
pc_chair,can,policy_action,104,0.0646
pc_chair,can,existence,75,0.0466
pc_chair,can,occurrence,63,0.0391
pc_chair,can,causative,61,0.0379
pc_chair,can,copular_adj,50,0.0311
pc_chair,can,copular_nom,46,0.0286
pc_chair,can,aspectual,32,0.0199
pc_chair,can,copular_prep,7,0.0043
pc_chair,can,copular_adv,1,0.0006
pc_chair,should,activity,114,0.2294
pc_chair,should,mental,72,0.1449
pc_chair,should,other,68,0.1368
pc_chair,should,copular_nom,43,0.0865
pc_chair,should,existence,36,0.0724
pc_chair,should,copular_adj,33,0.0664
pc_chair,should,policy_action,33,0.0664
pc_chair,should,occurrence,28,0.0563
pc_chair,should,communication,21,0.0423
pc_chair,should,aspectual,18,0.0362
pc_chair,should,causative,15,0.0302
pc_chair,should,copular_prep,14,0.0282
pc_chair,should,copular_adv,2,0.004
pc_chair,may,copular_nom,70,0.1443
pc_chair,may,other,69,0.1423
pc_chair,may,existence,68,0.1402
pc_chair,may,activity,65,0.134
pc_chair,may,copular_adj,61,0.1258
pc_chair,may,occurrence,39,0.0804
pc_chair,may,causative,26,0.0536
pc_chair,may,copular_prep,26,0.0536
pc_chair,may,mental,22,0.0454
pc_chair,may,policy_action,15,0.0309
pc_chair,may,aspectual,14,0.0289
pc_chair,may,communication,8,0.0165
pc_chair,may,copular_adv,2,0.0041
