layer,modal,n,pmw,ci_lo,ci_hi,DP,docs_with,n_docs
min_staff_desk,will,35,486.5,338.9,676.6,0.729,23,99
min_staff_desk,would,307,4267.3,3803.3,4772.4,0.301,81,99
min_staff_desk,could,138,1918.2,1611.5,2266.3,0.418,56,99
min_staff_desk,can,5,69.5,22.6,162.2,0.924,5,99
min_staff_desk,should,27,375.3,247.3,546.0,0.787,16,99
min_staff_desk,may,41,569.9,409.0,773.1,0.656,28,99
min_staff_desk,might,61,847.9,648.6,1089.2,0.546,37,99
min_staff_desk,must,4,55.6,15.1,142.4,0.933,4,99
min_staff_desk,shall,14,194.6,106.4,326.5,0.907,6,99
min_staff,will,16,64.0,36.6,104.0,0.848,14,99
min_staff,would,327,1308.6,1170.6,1458.4,0.207,92,99
min_staff,could,132,528.2,442.0,626.4,0.422,63,99
min_staff,can,2,8.0,1.0,28.9,0.98,2,99
min_staff,should,5,20.0,6.5,46.7,0.946,5,99
min_staff,may,57,228.1,172.8,295.5,0.521,46,99
min_staff,might,36,144.1,100.9,199.4,0.716,28,99
min_staff,must,0,0.0,0.0,14.8,,0,99
min_staff,shall,0,0.0,0.0,14.8,,0,99
min_participants,will,30,133.9,90.4,191.2,0.741,25,99
min_participants,would,1537,6861.9,6523.1,7213.7,0.118,99,99
min_participants,could,875,3906.4,3651.8,4174.0,0.165,99,99
min_participants,can,8,35.7,15.4,70.4,0.927,7,99
min_participants,should,149,665.2,562.7,781.0,0.368,71,99
min_participants,may,157,700.9,595.6,819.5,0.413,67,99
min_participants,might,375,1674.2,1509.0,1852.5,0.343,90,99
min_participants,must,2,8.9,1.1,32.3,0.979,2,99
min_participants,shall,0,0.0,0.0,16.5,,0,99
min_committee,will,37,588.9,414.6,811.7,0.745,22,99
min_committee,would,719,11443.0,10621.8,12310.9,0.112,99,99
min_committee,could,83,1321.0,1052.1,1637.5,0.335,70,99
min_committee,can,3,47.7,9.8,139.5,0.962,3,99
min_committee,should,85,1352.8,1080.6,1672.7,0.424,54,99
min_committee,may,31,493.4,335.2,700.3,0.68,27,99
min_committee,might,26,413.8,270.3,606.3,0.748,17,99
min_committee,must,0,0.0,0.0,58.7,,0,99
min_committee,shall,0,0.0,0.0,58.7,,0,99
min_special,will,49,1201.7,889.0,1588.7,0.698,15,40
min_special,would,344,8436.1,7568.1,9376.4,0.176,40,40
min_special,could,283,6940.2,6155.1,7797.7,0.228,32,40
min_special,can,21,515.0,318.8,787.2,0.562,15,40
min_special,should,58,1422.4,1080.1,1838.7,0.406,27,40
min_special,may,28,686.7,456.3,992.4,0.521,14,40
min_special,might,74,1814.7,1425.0,2278.3,0.293,27,40
min_special,must,3,73.6,15.2,215.0,0.939,2,40
min_special,shall,4,98.1,26.7,251.2,0.953,1,40
pc_chair,will,4341,8142.8,7902.4,8388.8,0.114,80,80
pc_chair,would,3127,5865.6,5661.8,6074.9,0.118,80,80
pc_chair,could,626,1174.3,1084.1,1269.9,0.189,79,80
pc_chair,can,1610,3020.0,2874.3,3171.2,0.142,80,80
pc_chair,should,497,932.3,852.1,1018.0,0.218,79,80
pc_chair,may,485,909.8,830.6,994.5,0.211,79,80
pc_chair,might,237,444.6,389.8,504.9,0.321,71,80
pc_chair,must,19,35.6,21.5,55.7,0.814,15,80
pc_chair,shall,2,3.8,0.5,13.6,0.987,1,80
speech_chair,will,1169,4977.6,4696.3,5271.3,0.193,119,124
speech_chair,would,573,2439.8,2244.1,2648.0,0.252,99,124
speech_chair,could,355,1511.6,1358.4,1677.3,0.325,80,124
speech_chair,can,514,2188.6,2003.5,2386.3,0.254,109,124
speech_chair,should,210,894.2,777.3,1023.6,0.352,68,124
speech_chair,may,382,1626.5,1467.5,1798.1,0.292,91,124
speech_chair,might,146,621.7,524.9,731.1,0.415,56,124
speech_chair,must,104,442.8,361.8,536.6,0.431,56,124
speech_chair,shall,0,0.0,0.0,15.7,,0,124
