layer,modal,rank,predicate,n,share,cum_share,modal_n
min_staff_desk,will,1,decline,3,0.0857,0.0857,35
min_staff_desk,will,2,notify,3,0.0857,0.1714,35
min_staff_desk,will,3,inform,2,0.0571,0.2286,35
min_staff_desk,will,4,continue,2,0.0571,0.2857,35
min_staff_desk,will,5,need,2,0.0571,0.3429,35
min_staff_desk,will,6,start,2,0.0571,0.4,35
min_staff_desk,will,7,require,1,0.0286,0.4286,35
min_staff_desk,will,8,restore,1,0.0286,0.4571,35
min_staff_desk,will,9,begin,1,0.0286,0.4857,35
min_staff_desk,will,10,depend,1,0.0286,0.5143,35
min_staff_desk,will,11,change,1,0.0286,0.5429,35
min_staff_desk,will,12,remain,1,0.0286,0.5714,35
min_staff_desk,will,13,result,1,0.0286,0.6,35
min_staff_desk,will,14,report,1,0.0286,0.6286,35
min_staff_desk,will,15,prevail,1,0.0286,0.6571,35
min_staff_desk,would,1,continue,23,0.0749,0.0749,307
min_staff_desk,would,2,help,10,0.0326,0.1075,307
min_staff_desk,would,3,be+appropriate,8,0.0261,0.1336,307
min_staff_desk,would,4,provide,6,0.0195,0.1531,307
min_staff_desk,would,5,begin,6,0.0195,0.1726,307
min_staff_desk,would,6,use,6,0.0195,0.1922,307
min_staff_desk,would,7,support,6,0.0195,0.2117,307
min_staff_desk,would,8,be+useful,5,0.0163,0.228,307
min_staff_desk,would,9,occur,5,0.0163,0.2443,307
min_staff_desk,would,10,need,5,0.0163,0.2606,307
min_staff_desk,would,11,fall,5,0.0163,0.2769,307
min_staff_desk,would,12,remain,5,0.0163,0.2932,307
min_staff_desk,would,13,decline,5,0.0163,0.3094,307
min_staff_desk,would,14,announce,4,0.013,0.3225,307
min_staff_desk,would,15,issue,4,0.013,0.3355,307
min_staff_desk,could,1,affect,7,0.0507,0.0507,138
min_staff_desk,could,2,consider,6,0.0435,0.0942,138
min_staff_desk,could,3,increase,5,0.0362,0.1304,138
min_staff_desk,could,4,result,5,0.0362,0.1667,138
min_staff_desk,could,5,continue,4,0.029,0.1957,138
min_staff_desk,could,6,become,4,0.029,0.2246,138
min_staff_desk,could,7,provide,4,0.029,0.2536,138
min_staff_desk,could,8,help,3,0.0217,0.2754,138
min_staff_desk,could,9,remain,3,0.0217,0.2971,138
min_staff_desk,could,10,take,3,0.0217,0.3188,138
min_staff_desk,could,11,use,3,0.0217,0.3406,138
min_staff_desk,could,12,have,3,0.0217,0.3623,138
min_staff_desk,could,13,play,3,0.0217,0.3841,138
min_staff_desk,could,14,arise,3,0.0217,0.4058,138
min_staff_desk,could,15,lead,2,0.0145,0.4203,138
min_staff_desk,should,1,continue,2,0.0741,0.0741,27
min_staff_desk,should,2,occur,2,0.0741,0.1481,27
min_staff_desk,should,3,decide,2,0.0741,0.2222,27
min_staff_desk,should,4,reduce,2,0.0741,0.2963,27
min_staff_desk,should,5,play,1,0.037,0.3333,27
min_staff_desk,should,6,drive,1,0.037,0.3704,27
min_staff_desk,should,7,limit,1,0.037,0.4074,27
min_staff_desk,should,8,undue,1,0.037,0.4444,27
min_staff_desk,should,9,reemerge,1,0.037,0.4815,27
min_staff_desk,should,10,market,1,0.037,0.5185,27
min_staff_desk,should,11,warrant,1,0.037,0.5556,27
