layer,modal,vclass,n,share
statement,will,activity,132,0.2175
statement,will,aspectual,126,0.2076
statement,will,mental,105,0.173
statement,will,policy_action,57,0.0939
statement,will,copular_adj,51,0.084
statement,will,occurrence,47,0.0774
statement,will,causative,38,0.0626
statement,will,existence,29,0.0478
statement,will,communication,12,0.0198
statement,will,other,10,0.0165
statement,would,copular_adj,46,0.9388
statement,would,aspectual,2,0.0408
statement,would,policy_action,1,0.0204
statement,could,causative,50,1.0
statement,should,activity,21,0.6364
statement,should,policy_action,6,0.1818
statement,should,causative,6,0.1818
statement,may,causative,16,0.5926
statement,may,copular_adj,10,0.3704
statement,may,other,1,0.037
speech_chair,will,other,253,0.2164
speech_chair,will,activity,179,0.1531
speech_chair,will,occurrence,119,0.1018
speech_chair,will,communication,117,0.1001
speech_chair,will,aspectual,114,0.0975
speech_chair,will,copular_adj,84,0.0719
speech_chair,will,policy_action,77,0.0659
speech_chair,will,mental,68,0.0582
speech_chair,will,existence,58,0.0496
speech_chair,will,causative,50,0.0428
speech_chair,will,copular_nom,41,0.0351
speech_chair,will,copular_prep,8,0.0068
speech_chair,will,copular_adv,1,0.0009
speech_chair,would,other,158,0.2757
speech_chair,would,copular_adj,92,0.1606
speech_chair,would,activity,52,0.0908
speech_chair,would,causative,48,0.0838
speech_chair,would,existence,47,0.082
speech_chair,would,occurrence,42,0.0733
speech_chair,would,mental,39,0.0681
speech_chair,would,communication,26,0.0454
speech_chair,would,policy_action,20,0.0349
speech_chair,would,copular_nom,18,0.0314
speech_chair,would,aspectual,18,0.0314
speech_chair,would,copular_prep,11,0.0192
speech_chair,would,copular_adv,2,0.0035
speech_chair,could,other,81,0.2282
speech_chair,could,causative,58,0.1634
speech_chair,could,activity,57,0.1606
speech_chair,could,occurrence,41,0.1155
speech_chair,could,existence,28,0.0789
speech_chair,could,copular_adj,24,0.0676
speech_chair,could,policy_action,23,0.0648
speech_chair,could,mental,13,0.0366
speech_chair,could,communication,10,0.0282
speech_chair,could,aspectual,9,0.0254
speech_chair,could,copular_nom,8,0.0225
speech_chair,could,copular_prep,3,0.0085
speech_chair,can,other,155,0.3016
speech_chair,can,activity,109,0.2121
speech_chair,can,causative,50,0.0973
speech_chair,can,copular_adj,41,0.0798
speech_chair,can,mental,40,0.0778
speech_chair,can,policy_action,38,0.0739
speech_chair,can,occurrence,28,0.0545
speech_chair,can,communication,20,0.0389
speech_chair,can,copular_nom,13,0.0253
speech_chair,can,existence,9,0.0175
speech_chair,can,aspectual,9,0.0175
speech_chair,can,copular_prep,2,0.0039
speech_chair,should,other,56,0.2667
speech_chair,should,activity,40,0.1905
speech_chair,should,policy_action,22,0.1048
speech_chair,should,mental,20,0.0952
speech_chair,should,copular_adj,14,0.0667
speech_chair,should,aspectual,14,0.0667
speech_chair,should,communication,14,0.0667
speech_chair,should,occurrence,12,0.0571
speech_chair,should,causative,10,0.0476
speech_chair,should,existence,7,0.0333
speech_chair,should,copular_nom,1,0.0048
speech_chair,may,other,83,0.2173
speech_chair,may,activity,71,0.1859
speech_chair,may,copular_adj,45,0.1178
speech_chair,may,causative,43,0.1126
speech_chair,may,occurrence,31,0.0812
speech_chair,may,existence,30,0.0785
speech_chair,may,copular_nom,25,0.0654
speech_chair,may,policy_action,17,0.0445
speech_chair,may,mental,16,0.0419
speech_chair,may,communication,8,0.0209
speech_chair,may,aspectual,6,0.0157
speech_chair,may,copular_prep,6,0.0157
speech_chair,may,copular_adv,1,0.0026
