period,layer,label,n_docs,tokens,six_modal_tokens,per_1k
T1,min_staff_desk,Minutes: Desk/markets (staff),99,71942,553,7.69
T1,min_staff,Minutes: staff review & outlook,99,249885,539,2.16
T1,min_participants,Minutes: participants' views,99,223992,2756,12.3
T1,min_committee,Minutes: Committee policy action,99,62833,958,15.25
T1,min_special,Minutes: special topics,40,40777,783,19.2
T2,min_staff_desk,Minutes: Desk/markets (staff),91,65804,501,7.61
T2,min_staff,Minutes: staff review & outlook,91,225146,498,2.21
T2,min_participants,Minutes: participants' views,91,204165,2444,11.97
T2,min_committee,Minutes: Committee policy action,91,58151,886,15.24
T2,min_special,Minutes: special topics,36,35950,675,18.78
T3,min_staff_desk,Minutes: Desk/markets (staff),131,88213,774,8.77
T3,min_staff,Minutes: staff review & outlook,131,334850,704,2.1
T3,min_participants,Minutes: participants' views,131,282404,3359,11.89
T3,min_committee,Minutes: Committee policy action,131,84104,1254,14.91
T3,min_special,Minutes: special topics,49,45089,863,19.14
