layer,modal,vclass,n,share
statement,will,activity,132,0.2175
statement,will,aspectual,126,0.2076
statement,will,mental,105,0.173
statement,will,policy_action,57,0.0939
statement,will,copular_adj,51,0.084
statement,will,occurrence,47,0.0774
statement,will,causative,38,0.0626
statement,will,existence,29,0.0478
statement,will,communication,12,0.0198
statement,will,other,10,0.0165
statement,would,copular_adj,46,0.9388
statement,would,aspectual,2,0.0408
statement,would,policy_action,1,0.0204
statement,could,causative,50,1.0
statement,should,activity,21,0.6364
statement,should,policy_action,6,0.1818
statement,should,causative,6,0.1818
statement,may,causative,16,0.5926
statement,may,copular_adj,10,0.3704
statement,may,other,1,0.037
pc_chair,will,activity,845,0.1947
pc_chair,will,mental,589,0.1357
pc_chair,will,other,431,0.0993
pc_chair,will,existence,430,0.0991
pc_chair,will,copular_adj,400,0.0921
pc_chair,will,aspectual,336,0.0774
pc_chair,will,policy_action,297,0.0684
pc_chair,will,copular_nom,287,0.0661
pc_chair,will,occurrence,275,0.0633
pc_chair,will,communication,267,0.0615
pc_chair,will,causative,105,0.0242
pc_chair,will,copular_prep,60,0.0138
pc_chair,will,copular_adv,19,0.0044
pc_chair,would,communication,846,0.2705
pc_chair,would,mental,475,0.1519
pc_chair,would,other,388,0.1241
pc_chair,would,activity,344,0.11
pc_chair,would,copular_adj,270,0.0863
pc_chair,would,existence,251,0.0803
pc_chair,would,copular_nom,219,0.07
pc_chair,would,policy_action,91,0.0291
pc_chair,would,causative,89,0.0285
pc_chair,would,aspectual,53,0.0169
pc_chair,would,occurrence,50,0.016
pc_chair,would,copular_prep,44,0.0141
pc_chair,would,copular_adv,7,0.0022
pc_chair,could,activity,110,0.1757
pc_chair,could,causative,88,0.1406
pc_chair,could,other,81,0.1294
pc_chair,could,existence,71,0.1134
pc_chair,could,copular_nom,54,0.0863
pc_chair,could,occurrence,51,0.0815
pc_chair,could,copular_adj,51,0.0815
pc_chair,could,mental,43,0.0687
pc_chair,could,communication,27,0.0431
pc_chair,could,policy_action,23,0.0367
pc_chair,could,copular_prep,17,0.0272
pc_chair,could,aspectual,9,0.0144
pc_chair,could,copular_adv,1,0.0016
pc_chair,can,activity,428,0.2658
pc_chair,can,other,351,0.218
pc_chair,can,mental,237,0.1472
pc_chair,can,communication,155,0.0963
pc_chair,can,policy_action,104,0.0646
pc_chair,can,existence,75,0.0466
pc_chair,can,occurrence,63,0.0391
pc_chair,can,causative,61,0.0379
pc_chair,can,copular_adj,50,0.0311
pc_chair,can,copular_nom,46,0.0286
pc_chair,can,aspectual,32,0.0199
pc_chair,can,copular_prep,7,0.0043
pc_chair,can,copular_adv,1,0.0006
pc_chair,should,activity,114,0.2294
pc_chair,should,mental,72,0.1449
pc_chair,should,other,68,0.1368
pc_chair,should,copular_nom,43,0.0865
pc_chair,should,existence,36,0.0724
pc_chair,should,copular_adj,33,0.0664
pc_chair,should,policy_action,33,0.0664
pc_chair,should,occurrence,28,0.0563
pc_chair,should,communication,21,0.0423
pc_chair,should,aspectual,18,0.0362
pc_chair,should,causative,15,0.0302
pc_chair,should,copular_prep,14,0.0282
pc_chair,should,copular_adv,2,0.004
pc_chair,may,copular_nom,70,0.1443
pc_chair,may,other,69,0.1423
pc_chair,may,existence,68,0.1402
pc_chair,may,activity,65,0.134
pc_chair,may,copular_adj,61,0.1258
pc_chair,may,occurrence,39,0.0804
pc_chair,may,causative,26,0.0536
pc_chair,may,copular_prep,26,0.0536
pc_chair,may,mental,22,0.0454
pc_chair,may,policy_action,15,0.0309
pc_chair,may,aspectual,14,0.0289
pc_chair,may,communication,8,0.0165
pc_chair,may,copular_adv,2,0.0041
speech_chair,will,other,253,0.2164
speech_chair,will,activity,179,0.1531
speech_chair,will,occurrence,119,0.1018
speech_chair,will,communication,117,0.1001
speech_chair,will,aspectual,114,0.0975
speech_chair,will,copular_adj,84,0.0719
speech_chair,will,policy_action,77,0.0659
speech_chair,will,mental,68,0.0582
speech_chair,will,existence,58,0.0496
speech_chair,will,causative,50,0.0428
speech_chair,will,copular_nom,41,0.0351
speech_chair,will,copular_prep,8,0.0068
speech_chair,will,copular_adv,1,0.0009
speech_chair,would,other,158,0.2757
speech_chair,would,copular_adj,92,0.1606
speech_chair,would,activity,52,0.0908
speech_chair,would,causative,48,0.0838
speech_chair,would,existence,47,0.082
speech_chair,would,occurrence,42,0.0733
speech_chair,would,mental,39,0.0681
speech_chair,would,communication,26,0.0454
speech_chair,would,policy_action,20,0.0349
speech_chair,would,copular_nom,18,0.0314
speech_chair,would,aspectual,18,0.0314
speech_chair,would,copular_prep,11,0.0192
speech_chair,would,copular_adv,2,0.0035
speech_chair,could,other,81,0.2282
speech_chair,could,causative,58,0.1634
speech_chair,could,activity,57,0.1606
speech_chair,could,occurrence,41,0.1155
speech_chair,could,existence,28,0.0789
speech_chair,could,copular_adj,24,0.0676
speech_chair,could,policy_action,23,0.0648
speech_chair,could,mental,13,0.0366
speech_chair,could,communication,10,0.0282
speech_chair,could,aspectual,9,0.0254
speech_chair,could,copular_nom,8,0.0225
speech_chair,could,copular_prep,3,0.0085
speech_chair,can,other,155,0.3016
speech_chair,can,activity,109,0.2121
speech_chair,can,causative,50,0.0973
speech_chair,can,copular_adj,41,0.0798
speech_chair,can,mental,40,0.0778
speech_chair,can,policy_action,38,0.0739
speech_chair,can,occurrence,28,0.0545
speech_chair,can,communication,20,0.0389
speech_chair,can,copular_nom,13,0.0253
speech_chair,can,existence,9,0.0175
speech_chair,can,aspectual,9,0.0175
speech_chair,can,copular_prep,2,0.0039
speech_chair,should,other,56,0.2667
speech_chair,should,activity,40,0.1905
speech_chair,should,policy_action,22,0.1048
speech_chair,should,mental,20,0.0952
speech_chair,should,copular_adj,14,0.0667
speech_chair,should,aspectual,14,0.0667
speech_chair,should,communication,14,0.0667
speech_chair,should,occurrence,12,0.0571
speech_chair,should,causative,10,0.0476
speech_chair,should,existence,7,0.0333
speech_chair,should,copular_nom,1,0.0048
speech_chair,may,other,83,0.2173
speech_chair,may,activity,71,0.1859
speech_chair,may,copular_adj,45,0.1178
speech_chair,may,causative,43,0.1126
speech_chair,may,occurrence,31,0.0812
speech_chair,may,existence,30,0.0785
speech_chair,may,copular_nom,25,0.0654
speech_chair,may,policy_action,17,0.0445
speech_chair,may,mental,16,0.0419
speech_chair,may,communication,8,0.0209
speech_chair,may,aspectual,6,0.0157
speech_chair,may,copular_prep,6,0.0157
speech_chair,may,copular_adv,1,0.0026
