event,event_date,layer,series,pre3,at,post3
QE3 ends,2014-10-29,min_committee,ALL,13.939,15.55,17.193
QE3 ends,2014-10-29,min_committee,could,0.493,0.0,0.0
QE3 ends,2014-10-29,min_committee,should,0.0,2.392,5.069
QE3 ends,2014-10-29,min_committee,will,0.421,0.0,1.623
QE3 ends,2014-10-29,min_committee,would,12.112,11.962,7.981
First hike (liftoff),2015-12-16,min_committee,ALL,15.299,15.311,13.847
First hike (liftoff),2015-12-16,min_committee,could,1.503,1.914,1.291
First hike (liftoff),2015-12-16,min_committee,should,1.209,1.914,1.291
First hike (liftoff),2015-12-16,min_committee,will,2.09,0.957,0.0
First hike (liftoff),2015-12-16,min_committee,would,9.301,9.569,10.842
Normalization addendum,2017-06-14,min_committee,ALL,17.057,13.846,16.312
Normalization addendum,2017-06-14,min_committee,could,0.691,0.0,0.0
Normalization addendum,2017-06-14,min_committee,should,1.591,0.0,0.514
Normalization addendum,2017-06-14,min_committee,will,0.0,0.0,0.0
Normalization addendum,2017-06-14,min_committee,would,14.43,13.846,15.799
Balance-sheet runoff,2017-10-01,min_committee,ALL,15.713,15.645,16.911
Balance-sheet runoff,2017-10-01,min_committee,could,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,should,0.514,0.0,0.527
Balance-sheet runoff,2017-10-01,min_committee,will,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,min_committee,would,15.199,15.645,16.384
Powell chair,2018-02-05,min_committee,ALL,16.037,18.265,11.232
Powell chair,2018-02-05,min_committee,could,0.0,0.0,1.151
Powell chair,2018-02-05,min_committee,should,0.527,0.0,0.576
Powell chair,2018-02-05,min_committee,will,0.0,0.0,0.0
Powell chair,2018-02-05,min_committee,would,15.511,18.265,9.505
Mid-cycle cut,2019-07-31,min_committee,ALL,11.6,10.217,9.659
Mid-cycle cut,2019-07-31,min_committee,could,1.113,1.277,2.477
Mid-cycle cut,2019-07-31,min_committee,should,0.624,1.277,0.0
Mid-cycle cut,2019-07-31,min_committee,will,0.0,0.0,0.667
Mid-cycle cut,2019-07-31,min_committee,would,8.749,7.663,6.515
Pandemic ZLB,2020-03-15,min_committee,ALL,8.834,15.504,16.205
Pandemic ZLB,2020-03-15,min_committee,could,1.935,1.55,0.0
Pandemic ZLB,2020-03-15,min_committee,should,0.0,0.0,0.0
Pandemic ZLB,2020-03-15,min_committee,will,0.667,0.0,0.0
Pandemic ZLB,2020-03-15,min_committee,would,6.232,13.953,16.205
New framework,2020-08-27,min_committee,ALL,16.205,15.504,16.055
New framework,2020-08-27,min_committee,could,0.0,0.969,1.719
New framework,2020-08-27,min_committee,should,0.0,0.969,0.0
New framework,2020-08-27,min_committee,will,0.0,1.938,0.0
New framework,2020-08-27,min_committee,would,16.205,11.628,14.335
Hiking cycle begins,2022-03-16,min_committee,ALL,17.25,14.523,14.202
Hiking cycle begins,2022-03-16,min_committee,could,1.314,2.075,1.967
Hiking cycle begins,2022-03-16,min_committee,should,3.08,0.0,0.0
Hiking cycle begins,2022-03-16,min_committee,will,0.0,0.0,0.0
Hiking cycle begins,2022-03-16,min_committee,would,12.857,12.448,12.235
Last hike,2023-07-26,min_committee,ALL,17.697,17.766,18.321
Last hike,2023-07-26,min_committee,could,2.418,2.538,2.247
Last hike,2023-07-26,min_committee,should,0.0,0.0,1.403
Last hike,2023-07-26,min_committee,will,5.719,5.076,0.809
Last hike,2023-07-26,min_committee,would,7.141,7.614,11.021
Cutting cycle begins,2024-09-18,min_committee,ALL,16.096,16.99,15.55
Cutting cycle begins,2024-09-18,min_committee,could,2.217,2.427,2.475
Cutting cycle begins,2024-09-18,min_committee,should,0.651,4.854,2.475
Cutting cycle begins,2024-09-18,min_committee,will,0.0,0.0,0.0
Cutting cycle begins,2024-09-18,min_committee,would,13.228,9.709,10.6
Framework review 2025,2025-08-22,min_committee,ALL,15.594,16.0,16.266
Framework review 2025,2025-08-22,min_committee,could,2.599,2.667,2.461
Framework review 2025,2025-08-22,min_committee,should,2.599,2.667,3.211
Framework review 2025,2025-08-22,min_committee,will,0.0,0.0,0.0
Framework review 2025,2025-08-22,min_committee,would,10.396,10.667,10.594
