date,year,n_added,n_removed,added,removed
2014-03-19,2014,1,0,may,
2014-04-30,2014,0,0,,
2014-06-18,2014,0,0,,
2014-07-30,2014,0,1,,could
2014-09-17,2014,0,0,,
2014-10-29,2014,0,0,,
2014-12-17,2014,1,0,can,
2015-01-28,2015,0,0,,
2015-03-18,2015,0,1,,can
2015-04-29,2015,0,0,,
2015-06-17,2015,0,0,,
2015-07-29,2015,0,0,,
2015-09-17,2015,0,0,,
2015-10-28,2015,0,0,,
2015-12-16,2015,0,1,,may
2016-01-27,2016,0,0,,
2016-03-16,2016,0,0,,
2016-04-27,2016,0,0,,
2016-06-15,2016,0,0,,
2016-07-27,2016,0,0,,
2016-09-21,2016,0,0,,
2016-11-02,2016,0,0,,
2016-12-14,2016,0,0,,
2017-02-01,2017,0,0,,
2017-03-15,2017,0,0,,
2017-05-03,2017,0,0,,
2017-06-14,2017,1,1,would,should
2017-07-26,2017,0,1,,would
2017-09-20,2017,0,0,,
2017-11-01,2017,0,0,,
2017-12-13,2017,0,0,,
2018-01-31,2018,0,0,,
2018-03-21,2018,0,0,,
2018-05-02,2018,0,0,,
2018-06-13,2018,0,0,,
2018-08-01,2018,0,0,,
2018-09-26,2018,0,0,,
2018-11-08,2018,0,0,,
2018-12-19,2018,0,0,,
2019-01-30,2019,1,0,may,
2019-03-20,2019,0,0,,
2019-05-01,2019,0,0,,
2019-06-19,2019,0,1,,may
2019-07-31,2019,0,0,,
2019-09-18,2019,0,0,,
2019-10-30,2019,0,0,,
2019-12-11,2019,0,0,,
2020-01-29,2020,0,0,,
2020-03-03,2020,0,0,,
2020-03-15,2020,1,0,can,
2020-03-23,2020,1,0,may,
2020-04-29,2020,0,2,,"can, may"
2020-06-10,2020,0,0,,
2020-07-29,2020,0,0,,
2020-09-16,2020,2,0,"could, would",
2020-11-05,2020,0,0,,
2020-12-16,2020,0,0,,
2021-01-27,2021,0,0,,
2021-03-17,2021,0,0,,
2021-04-28,2021,0,0,,
2021-06-16,2021,0,0,,
2021-07-28,2021,0,0,,
2021-09-22,2021,1,0,may,
2021-11-03,2021,0,1,,may
2021-12-15,2021,0,0,,
2022-01-26,2022,0,0,,
2022-03-16,2022,0,0,,
2022-05-04,2022,0,0,,
2022-06-15,2022,0,0,,
2022-07-27,2022,0,0,,
2022-09-21,2022,0,0,,
2022-11-02,2022,0,0,,
2022-12-14,2022,0,0,,
2023-02-01,2023,0,0,,
2023-03-22,2023,1,0,may,
2023-05-03,2023,0,0,,
2023-06-14,2023,0,0,,
2023-07-26,2023,0,0,,
2023-09-20,2023,0,0,,
2023-11-01,2023,0,0,,
2023-12-13,2023,0,0,,
2024-01-31,2024,0,1,,may
2024-03-20,2024,0,0,,
2024-05-01,2024,0,0,,
2024-06-12,2024,0,0,,
2024-07-31,2024,0,0,,
2024-09-18,2024,0,0,,
2024-11-07,2024,0,0,,
2024-12-18,2024,0,0,,
2025-01-29,2025,0,0,,
2025-03-19,2025,0,0,,
2025-05-07,2025,0,0,,
2025-06-18,2025,0,0,,
2025-07-30,2025,0,0,,
2025-09-17,2025,0,0,,
2025-10-29,2025,0,0,,
2025-12-10,2025,0,0,,
2026-01-28,2026,0,0,,
2026-03-18,2026,0,0,,
2026-04-29,2026,0,0,,
