layer,modal,predicate,doc_id,date,kwic
min_participants,will,depend,minutes_20160127,2016-01-27,"… appropriate, they emphasized that the timing and pace of adjustments [will] depend on future economic and financial market developments and their…"
min_participants,will,depend,minutes_20141029,2014-10-29,…ittee's decision about when to begin the policy normalization process [will] depend on incoming information about the economy.…
min_participants,will,move,minutes_20141217,2014-12-17,…nce participants would want to be reasonably confident that inflation [will] move back toward 2 percent over time.…
min_participants,will,move,minutes_20150318,2015-03-18,"…ss toward maximum employment and reasonable confidence that inflation [will] move back to 2 percent over the medium term, the normalization proces…"
min_participants,will,be+appropriate,minutes_20150128,2015-01-28,…Participants discussed the economic conditions that they anticipate [will] prevail at the time they expect it will be appropriate to begin norma…
min_participants,will,be+appropriate,minutes_20151028,2015-10-28,…hat a gradual increase in the target range for the federal funds rate [will] likely be appropriate to support progress toward the Committee's dual…
min_participants,will,drop,minutes_20180321,2018-03-21,…cline in the prices of cell phone service plans in March of last year [will] drop out of that calculation.…
min_participants,will,come,minutes_20230322,2023-03-22,"…ate monetary policy, supply and demand conditions in the labor market [will] come into better balance over time, easing upward pressures on wages …"
min_participants,would,be+appropriate,minutes_20211215,2021-12-15,…Participants also expected that economic conditions [would] evolve in a manner such that similar reductions in the pace of net as…
min_participants,would,be+appropriate,minutes_20240131,2024-01-31,…Participants generally noted that they did not expect it [would] be appropriate to reduce the target range for the federal funds rate …
min_participants,would,continue,minutes_20230201,2023-02-01,…growth in excess of 2 percent inflation and trend productivity growth [would] likely continue to put upward pressure on some prices in this compone…
min_participants,would,continue,minutes_20230614,2023-06-14,…Participants agreed that their policy decisions at every meeting [would] continue to be based on the totality of incoming information and its …
min_participants,would,depend,minutes_20210922,2021-09-22,…mplied that the paths of the federal funds rate and the balance sheet [would] depend on actual progress toward reaching the Committee's maximum-emp…
min_participants,would,depend,minutes_20140917,2014-09-17,…ral funds rate and the appropriate path of the policy rate thereafter [would] depend on incoming economic data and their implications for the outlo…
min_participants,would,remain,minutes_20210922,2021-09-22,"…erved that the inflation rate was elevated, and they expected that it [would] likely remain so in coming months before moderating.…"
min_participants,would,remain,minutes_20150318,2015-03-18,…Some participants emphasized that the stance of policy [would] remain highly accommodative even after the first increase in the targ…
min_participants,would,help,minutes_20220727,2022-07-27,…eady contributed to a notable tightening of financial conditions that [would] likely help reduce inflation pressures by restraining aggregate deman…
min_participants,would,help,minutes_20180613,2018-06-13,…postponing an increase in the target range for the federal funds rate [would] help push inflation expectations up to levels consistent with the Com…
min_participants,could,lead,minutes_20230503,2023-05-03,…increased because of the possibility that banking-sector developments [could] lead to further tightening of credit conditions and weigh on economic…
min_participants,could,lead,minutes_20141217,2014-12-17,"…ipants were worried that the recent substantial fall in energy prices [could] lead to a reduction in longer-term inflation expectations, while othe…"
min_participants,could,result,minutes_20230920,2023-09-20,… further strains; the possibility that the economic slowdown in China [could] result in a drag on global economic growth; or that an extended U.S. …
min_participants,could,result,minutes_20200610,2020-06-10,"…ikelihood of additional waves of outbreaks, which, in some scenarios, [could] result in further economic disruptions and possibly a protracted peri…"
min_participants,could,help,minutes_20220615,2022-06-15,…c-related fiscal policy support were cited as additional factors that [could] help reduce the supply–demand imbalances in the economy and therefore…
min_participants,could,help,minutes_20210127,2021-01-27,… address the hardships faced by these groups and that monetary policy [could] also help by promoting the economy's return to maximum employment and…
min_participants,could,become,minutes_20220504,2022-05-04,"…inflation heightened the risk that longer-term inflation expectations [could] become unanchored; in that case, the task of returning inflation to 2…"
min_participants,could,become,minutes_20230614,2023-06-14,"…nts mentioned the possibility that longer-term inflation expectations [could] become unanchored, particularly in light of stronger-than-expected co…"
min_participants,could,bear,minutes_20251210,2025-12-10,"…In discussing risk-management considerations that [could] bear on the outlook for monetary policy, participants generally judge…"
min_participants,could,bear,minutes_20250730,2025-07-30,"…In discussing risk-management considerations that [could] bear on the outlook for monetary policy, participants generally agree…"
min_participants,can,be+patient,minutes_20141217,2014-12-17,…ed that it would be useful to state that the Committee judges that it [can] be patient in beginning to normalize the stance of monetary policy; t…
min_participants,can,communicate,minutes_20141217,2014-12-17,"…It was noted that to the extent that such guidance [can] be effectively communicated, the precise date of liftoff becomes less…"
